ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,PROCESO_ELECTORAL,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL,CARGO_ELEGIDO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCIA,MONTERO LARA,ELECCIONES 2006,ALIANZA UNIDAD NACIONAL,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCIA,MONTERO LARA,ELECCIONES 2002,ALIANZA UNIDAD NACIONAL,2003,2006,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,ELECCIONES GENERALES 2011,ALIANZA SOLIDARIDAD NACIONAL,2011,2016,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MERINO,TRIGOSO PINEDO,2002,MOVIMIENTO INDIGENA CONDORCANQUI AMAZONAS-MICA-,2003,2005,ALCALDE(SA) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MILAGROS JUDITH,SILVA CHIRA,PROCESO DE ELECCIONES MUNICIPALES 2015,UNIÓN POR EL PERÚ,2015,2015,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,OBDULIA,PRADA TELLO,2003 - 2006,UNIDOS POR ABANCAY,2003,2006,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,OLINDA VISENTA,ARMAS VICHARRA,REVOCATORIA DE CONCEJO MUNICIPAL,SIEMPRE UNIDOS,2009,2009,ALCALDE(SA) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,PORFIRIO,VARGAS QUISPE,2011,GANA PERU,2011,2015,ALCALDE(SA) DE CENTRO POBLADO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ROMAN LUIS,MARCELO CALLUPE,1998,Movimiento Independiente Vamos Vecino,1999,2002,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ROMAN LUIS,MARCELO CALLUPE,2006,Partido Aprista Peruano,2007,2010,ALCALDE(SA) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,TITO HUGO,HUAMAN LOPEZ,ELECCIONES MUNICIPALES 1992,PARTIDO APRISTA PERUANO,1993,1995,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,TITO HUGO,HUAMAN LOPEZ,ELECCIONES MUNICIPALE4S 1989,PARETIDO APRISTA PERUANO,1990,1992,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,TITO HUGO,HUAMAN LOPEZ,ELECCIONES MUNICIPALES 2002,PARTIDO APRISTA PERUANO,2003,2006,ALCALDE(SA) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILDER AUGUSTO,RUIZ SILVA ,ELECCIONES REGIONALES Y MUNICIPALES 2002,UNIDAD NACIONAL,2003,2006,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILDER AUGUSTO,RUIZ SILVA ,ELECCIONES GENERALES 2006,UNIDAD NACIONAL,2007,2009,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILDER AUGUSTO,RUIZ SILVA ,ELECCIONES REGIONALES Y MUNICIPALES 2014,SOLIDARIDAD NACIONAL,2015,Actualidad,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILFREDO,QUISPE GUTIERREZ ,2015 - 2018,"""SE DEMOSTRÓ CON OBRAS""",2015,Actualidad,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE LEON,LUNA GALVEZ,2000 - 2001,SOLIDARIDAD NACIONAL,2000,2001,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE LEON,LUNA GALVEZ,2001 - 2006,ALIANZA ELECTORAL UNIDAD NACIONAL,2001,2006,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE LEON,LUNA GALVEZ,2006 - 2011,UNIDAD NACIONAL,2006,2011,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE LEON,LUNA GALVEZ,2011,ALIANZA SOLIDARIDAD NACIONAL,2011,Actualidad,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRIMER VICEPRESIDENTE DE LA REPUBLICA,JOSE LEON,LUNA GALVEZ,1998,APRA,1999,2002,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,GUSTAVO BERNARDO,RONDON FUDINAGA,2011 - 2016,ALIANZA SOLIDARIDAD NACIONAL,2011,2016,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENICIO,RIOS OCSA ,ELECCIONES REGIONALES Y MUNICIPALES 2010,ACUERDO POPULAR UNIFICADO,2011,2014,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENICIO,RIOS OCSA ,ELECCIONES MUNICIPALES 1998,MOVIMIENTO INDEPENDIENTE URUBAMBA,1999,2002,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENICIO,RIOS OCSA ,ELECCIONES MUNICIPALES 1989,IZQUIERDA UNIDA,1990,1993,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENICIO,RIOS OCSA ,ELECCIONES REGIONALES Y MUNICIPALES 2006,UNION POR EL PERU,2007,2010,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENIGNO TEOFILO,CORNEJO VALENCIA ,ELECCIONES MUNICIPALES 1998,FRENTE VECINAL CERREÑO,1999,2002,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENIGNO TEOFILO,CORNEJO VALENCIA ,ELECCIONES MUNICIPALES 2002,CERREÑOS AVANZANDO,2003,2006,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BENIGNO TEOFILO,CORNEJO VALENCIA ,ELECCIONES MUNICIPALES 1995,L.I. NRO 25 BOMBILLA 95,1996,1998,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BETTY,CHAMORRO BALVIN ,ELECCIONES REGIONALES Y MUNICIPALES 2002,MOVIMIENTO REGIONAL UNIDOS POR JUNIN SIERRA Y SELVA,2003,2006,ALCALDE(SA) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CARLOS FEDERICO,LEYTON MUÑOZ ,ELECCIONES REGIONALES Y MUNICIPALES 2006,AREQUIPA TRADICION Y FUTURO,2006,2009,VICEGOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR,VILLANUEVA AREVALO ,2010,MOVIMIENTO REGIONAL NUEVA AMAZONIA,2011,2014,GOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR,VILLANUEVA AREVALO ,2006,MOVIMIENTO REGIONAL NUEVA AMAZONIA,2007,2010,GOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR TEDDY,UBILLUS OLEMAR ,ERM 1986,PARTIDO APRISTA PERUANO,1987,1989,REGIDOR(A) DISTRITAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDITH JANETT,HUARI CONTRERAS,ELECCIONES REGIONALES Y MUNICIPALES 2010,MOVIMIENTO POLÍTICO REGIONAL PERÚ LIBRE,2011,2014,CONSEJERO REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDUARDO RUBEN,CARHUARICRA MEZA ,ELECCIONES MUNICIPALES 1995,MOVIMIENTO INTEGRACIÓN Y DESARROLLO,1996,1998,ALCALDE(SA) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDUARDO RUBEN,CARHUARICRA MEZA ,ELECCIONES GENERALES 2001,PARTIDO POLÍTICO SOMO PERÚ,2001,2006,CONGRESISTA
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELOY RICARDO,NARVAEZ SOTO ,ELECCIONES REGIONALES Y MUNICIPALES 2002,PARTIDO APRISTA PERUANO,2004,2006,GOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELOY RICARDO,NARVAEZ SOTO ,ELECCIONES REGIONAL Y MUNICIPALES 2002,PARTIDO APRISTA PERUANO,2003,2003,VICEGOBERNADOR(A) REGIONAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA,VASQUEZ RUIZ ,ELECCIONES REGIONALES Y MUNICIPALES 2006,ACCION REGIONAL,2007,2010,REGIDOR(A) PROVINCIAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA YOLANDA,MAMANI CARPIO ,ELECCIONES REGIONALES Y MUNICIPALES 2010,PARTIDO SIEMPRE UNIDOS,2011,2014,REGIDOR(A) DISTRITAL
