ORGANIZACION_POLITICA,NOMBRE_COMPLETO,LUGAR_POSTULA,SEXO
PROGRESANDO PERU,NANCY VICENTE JIMENEZ,PIURA  ,FEMENINO
PROGRESANDO PERU,VILMA CERA LUZON,PIURA  ,FEMENINO
PROGRESANDO PERU,ANGEL CARMEN CALDERON,PIURA  ,MASCULINO
PROGRESANDO PERU,BESSIFAMITH OCAMPO GUEVARA,PIURA  ,FEMENINO
PROGRESANDO PERU,JAVIER GALINDO PACHERRES,MADRE DE DIOS  ,MASCULINO
PROGRESANDO PERU,MARITA DEL PILAR VALERA HUESEMBE DE GARATE,MADRE DE DIOS  ,FEMENINO
PROGRESANDO PERU,JUANA PILAR MIRANDA QUIROZ DE SILVA,ANCASH  ,FEMENINO
PROGRESANDO PERU,ROBERT JIMMY DELGADO SANTA FE,CUSCO  ,MASCULINO
PROGRESANDO PERU,LIDIA PAMELA MEZARINA VALDIVIEZO,ICA  ,FEMENINO
PROGRESANDO PERU,HUMBERTO VALLEJOS SUCLUPE,PIURA  ,MASCULINO
PROGRESANDO PERU,GIANFRANCO DIETTER BAIGORRIA RAFAEL,ICA  ,MASCULINO
PROGRESANDO PERU,JORGE LUIS TAPIA HUAMANI,MADRE DE DIOS  ,MASCULINO
PROGRESANDO PERU,HELLEN MARINE ALVARADO CRUZ,AMAZONAS  ,FEMENINO
PROGRESANDO PERU,LUIS FERNANDO MARTINEZ PEREYRA,ICA  ,MASCULINO
PROGRESANDO PERU,LYS GLENY CASTAÑEDA HERNANDEZ,ICA  ,FEMENINO
PROGRESANDO PERU,JUANA ALCCA LIBIMORO DE MAXI,CUSCO  ,FEMENINO
PROGRESANDO PERU,MARIO HUAYLLA QUISPE,CUSCO  ,MASCULINO
PROGRESANDO PERU,HEBERT JORDAN CASAVERDE CCOICCA,AYACUCHO  ,MASCULINO
PROGRESANDO PERU,EDIHT FRANCISCA ALZAMORA AÑASCO,CUSCO  ,FEMENINO
PROGRESANDO PERU,LUDVING PEDRO MAYO TRUJILLO,HUANUCO  ,MASCULINO
PROGRESANDO PERU,MIRTHA ALIDA ALBORNOZ CAJAS,HUANUCO  ,FEMENINO
PROGRESANDO PERU,JOSE LUIS ANTINORI SAMAN,UCAYALI  ,MASCULINO
PROGRESANDO PERU,TUPAK INTI WALLPA QESPE,CUSCO  ,MASCULINO
PROGRESANDO PERU,JESUS RICARDO VILLASANTE FLORES,AREQUIPA  ,MASCULINO
PROGRESANDO PERU,PATRICIA GERALDINE CHIRINOS TOVAR,AREQUIPA  ,FEMENINO
PROGRESANDO PERU,ROXANA MARGOT FIGUEROA CRUZ,AREQUIPA  ,FEMENINO
PROGRESANDO PERU,PERCY LUIS PONCE PEREZ,AREQUIPA  ,MASCULINO
PROGRESANDO PERU,KHINJHE MANDINI CANCHARI HUAMANI,AYACUCHO  ,MASCULINO
PROGRESANDO PERU,GLORIA MOROTE CONTRERAS,AYACUCHO  ,FEMENINO
PROGRESANDO PERU,DIANA MORI GONZALES DE TOULLEC,UCAYALI  ,FEMENINO
PROGRESANDO PERU,VICTOR MOISES YUI RAMIREZ,UCAYALI  ,MASCULINO
PROGRESANDO PERU,YANIRA CHAMBILLA FLORES,TACNA  ,FEMENINO
PROGRESANDO PERU,ANTENOR ROMAN CASAS HINOJOSA,TACNA  ,MASCULINO
PROGRESANDO PERU,YLDEFONZO SEVERIANO ESPINOZA CANO,ANCASH  ,MASCULINO
PROGRESANDO PERU,EDDIE WILLIAM BAZAN CALDERON,TACNA  ,MASCULINO
PROGRESANDO PERU,RAUL TEOFILO GUEVARA ZELAYA,ANCASH  ,MASCULINO
PROGRESANDO PERU,PATRICIA DEL CARPIO APARICIO,ANCASH  ,FEMENINO
PROGRESANDO PERU,OSCAR EMIGDIO ALIAGA SANTANDER,AREQUIPA  ,MASCULINO
PROGRESANDO PERU,PATRICIO ELISBAN CARI ARAPA,AREQUIPA  ,MASCULINO
PROGRESANDO PERU,LINDER DELGADO BUSTAMANTE,AMAZONAS  ,MASCULINO
PROGRESANDO PERU,LARRY GUTIERREZ GONZALES,AMAZONAS  ,MASCULINO
PROGRESANDO PERU,RENATO ESPINOZA YOVERA,PIURA  ,MASCULINO
TODOS POR EL PERU,MARIA OFELIA CARPIO ARANDA,LIMA LIMA ,FEMENINO
TODOS POR EL PERU,IVONNE PAMELA BOCANEGRA CHUNG,LORETO  ,FEMENINO
TODOS POR EL PERU,HEIDY YESSENIA PEREZ MIRANDA,PIURA  ,FEMENINO
TODOS POR EL PERU,SANDRA MARIA GONZALES GOMEZ,MOQUEGUA  ,FEMENINO
TODOS POR EL PERU,JANETH ROCIO AVELINO CASQUERO,PASCO  ,FEMENINO
TODOS POR EL PERU,JOSE LUIS RAMIREZ JARA,PASCO  ,MASCULINO
TODOS POR EL PERU,JUAN MANUEL NEGRETE CARHUARICRA,PASCO  ,MASCULINO
TODOS POR EL PERU,ANGELICA MARIA PALOMINO SAAVEDRA,PIURA  ,FEMENINO
TODOS POR EL PERU,HECTOR EDWY VELA ARICA,PIURA  ,MASCULINO
TODOS POR EL PERU,JUAN GREGORIO GIRON ALZAMORA,PIURA  ,MASCULINO
TODOS POR EL PERU,LUIS FERNANDO MANRIQUE TALLEDO,TACNA  ,MASCULINO
TODOS POR EL PERU,MARITZA CHIROQUE SANDOVAL,PIURA  ,FEMENINO
TODOS POR EL PERU,WILLMERTH CANTEÑO ALBORNOZ,HUANUCO  ,MASCULINO
TODOS POR EL PERU,PATRICIA KRISTEL GUILLEN ALVAREZ,ICA  ,FEMENINO
TODOS POR EL PERU,JUAN DAVID HERNANDEZ QUINTANILLA,ICA  ,MASCULINO
TODOS POR EL PERU,ALFREDO ERNESTO SANCHEZ CAHUANA,ICA  ,MASCULINO
TODOS POR EL PERU,CARLO MAGNO SALCEDO CUADROS,LIMA  ,MASCULINO
TODOS POR EL PERU,CHRISTIAN PAUL TORPOCO VIVAS,JUNIN  ,MASCULINO
TODOS POR EL PERU,DIOGENES PARI PEREZ,HUANCAVELICA  ,MASCULINO
TODOS POR EL PERU,LIZ VERONICA QUISPE SANTOS,LIMA  ,FEMENINO
TODOS POR EL PERU,EDSON MARIO OSCANOA BARRIOS,JUNIN  ,MASCULINO
TODOS POR EL PERU,ANYLLI MARILU VEGA PACAHUALA,ANCASH  ,FEMENINO
TODOS POR EL PERU,CYNTIA JAQUELINE HUAROC ESTEBAN,JUNIN  ,FEMENINO
TODOS POR EL PERU,NOE FILIMON ACUÑA FERNANDEZ,JUNIN  ,MASCULINO
TODOS POR EL PERU,LUIS GUILLERMO MARTIN CASTRO PEREZ,PIURA  ,MASCULINO
TODOS POR EL PERU,MANUEL FERNANDO DEL AGUILA ZUÑIGA,LIMA  ,MASCULINO
TODOS POR EL PERU,ANGEL ALFREDO URQUIZA VASQUEZ,LIMA  ,MASCULINO
TODOS POR EL PERU,ELENA DEL PILAR CHAVEZ HORNA,LA LIBERTAD  ,FEMENINO
TODOS POR EL PERU,MARIA DEL PILAR YABAR PAREDES,LA LIBERTAD  ,FEMENINO
TODOS POR EL PERU,ROCIO ELIZABETH MERCEDES BOBADILLA,LA LIBERTAD  ,FEMENINO
TODOS POR EL PERU,CARLOS GUILLERMO LAYZA SILVA,LA LIBERTAD  ,MASCULINO
TODOS POR EL PERU,JUANA ESPERANZA JARA CESPEDES,LIMA  ,FEMENINO
TODOS POR EL PERU,CARLOS LENNIN JESUS SANCHEZ LOPEZ,LA LIBERTAD  ,MASCULINO
TODOS POR EL PERU,ARTURO CASTILLO CHIRINOS,LAMBAYEQUE  ,MASCULINO
TODOS POR EL PERU,LUIS ENRIQUE LOZANO ZELADA,LAMBAYEQUE  ,MASCULINO
TODOS POR EL PERU,CARLOS ARTURO GUERRERO VILLEGAS,LAMBAYEQUE  ,MASCULINO
TODOS POR EL PERU,KOKY MARGOT CHAVEZ ZAMORA,CAJAMARCA  ,FEMENINO
TODOS POR EL PERU,CARMELA SILENE SALAZAR JAUREGUI,AMAZONAS  ,FEMENINO
TODOS POR EL PERU,AUREA MANUELA ORDINOLA BRENIS,LAMBAYEQUE  ,FEMENINO
TODOS POR EL PERU,JOSE RICARDO RACCHUMI DEL MAESTRO,CALLAO  ,MASCULINO
TODOS POR EL PERU,ANGELICA MUSAYON CHIRA,LAMBAYEQUE  ,FEMENINO
TODOS POR EL PERU,FREDDI ROLAND RODRIGUEZ ORDOÑEZ,CAJAMARCA  ,MASCULINO
TODOS POR EL PERU,JULIA AGUEDA VALENCIA GRIJALVA,LIMA  ,FEMENINO
TODOS POR EL PERU,HANS FRANK HERRERA ZAVALETA,LIMA  ,MASCULINO
TODOS POR EL PERU,MANUEL GABRIEL GALLASTEGUI SABROSO,LIMA  ,MASCULINO
TODOS POR EL PERU,GONZALO GERMAN AGUIRRE ARRIZ,LIMA  ,MASCULINO
TODOS POR EL PERU,FRANCISCO RAFAEL SAGASTI HOCHHAUSLER,LIMA  ,MASCULINO
TODOS POR EL PERU,GLADYS ESPINOZA VASQUEZ,CALLAO  ,FEMENINO
TODOS POR EL PERU,RAUL EDY GUILLEN CALSIN,PUNO  ,MASCULINO
TODOS POR EL PERU,MELVIN GRIMALDO RODRIGUEZ MINCHOLA,LIMA  ,MASCULINO
TODOS POR EL PERU,FRANCESCA MARIA GUADALUPE BRIVIO GRILL,LIMA  ,FEMENINO
TODOS POR EL PERU,STEFANY MORALES ROJAS,LIMA  ,FEMENINO
TODOS POR EL PERU,CAROLINA LIZARRAGA HOUGHTON,LIMA  ,FEMENINO
TODOS POR EL PERU,CESAR MEDARDO TORRES VEGA,LIMA  ,MASCULINO
TODOS POR EL PERU,CARLOS ALBERTO BOHORQUEZ CASTELLARES,LIMA  ,MASCULINO
TODOS POR EL PERU,RUTH JENIFFER CARDENAS VEGA,JUNIN  ,FEMENINO
TODOS POR EL PERU,GUSTAVO JUAN PROLEON PONCE,HUANUCO  ,MASCULINO
TODOS POR EL PERU,JOSE CARLOS TERRONES HEREÑA,LORETO  ,MASCULINO
TODOS POR EL PERU,RODOLFO PEREZ OSORES,LIMA  ,MASCULINO
TODOS POR EL PERU,MARIA TERESA DULANTO GUINEA,LIMA  ,FEMENINO
TODOS POR EL PERU,CARLOS ALONSO SANTIBAÑEZ GARCIA,LIMA  ,MASCULINO
TODOS POR EL PERU,MANUEL ANTONIO LA SERNA CHICOMA,LIMA  ,MASCULINO
TODOS POR EL PERU,ELIZABETH PETRONILA MANRRIQUE DIAZ,AREQUIPA  ,FEMENINO
TODOS POR EL PERU,DAVID ESTEBAN GARCIA FUENTES,LIMA  ,MASCULINO
TODOS POR EL PERU,MIGUEL ANGEL RUIZ BARDALES,LORETO  ,MASCULINO
TODOS POR EL PERU,EDUARDO LADRON DE GUEVARA PAWELEC,LIMA  ,MASCULINO
TODOS POR EL PERU,ROMULO OMAR GUTIERREZ GOMEZ,LIMA  ,MASCULINO
TODOS POR EL PERU,LEENA LUCIA BERNUY QUIROGA,LIMA  ,FEMENINO
TODOS POR EL PERU,RAQUEL LILIANA LOZADA VALENTIN,LIMA  ,FEMENINO
TODOS POR EL PERU,CARLOS ANDRES HUAMAN TOMECICH,LIMA  ,MASCULINO
TODOS POR EL PERU,FLOR ANTONIA BORJA GUTIERREZ,LIMA  ,FEMENINO
TODOS POR EL PERU,ERNESTO LOPEZ MAREOVICH,LIMA  ,MASCULINO
TODOS POR EL PERU,JULIA RAQUEL MARTINEZ HUAMAN,UCAYALI  ,FEMENINO
TODOS POR EL PERU,JORGE ALEX GONZALEZ VARILLAS,ANCASH  ,MASCULINO
TODOS POR EL PERU,ANGEL MANUEL MANERO CAMPOS,LIMA LIMA ,MASCULINO
TODOS POR EL PERU,CAROLINA STEPHANI OTAZU DE LA CRUZ,LIMA LIMA ,FEMENINO
TODOS POR EL PERU,JOSE FARFAN ESTRADA,MOQUEGUA  ,MASCULINO
TODOS POR EL PERU,MARITZA MENDOZA CANAZA,PUNO  ,FEMENINO
TODOS POR EL PERU,JAVIER GUIDO NUÑEZ LLANOS,PUNO  ,MASCULINO
TODOS POR EL PERU,JOHN ALEXANDER TORRES ROSELLO,PUNO  ,MASCULINO
TODOS POR EL PERU,MARTA NELLY ANCCO CHALCO DE HURTADO,PUNO  ,FEMENINO
TODOS POR EL PERU,ALVARO PRADA GUADALUPE,SAN MARTIN  ,MASCULINO
TODOS POR EL PERU,VICTOR JUEP BAKUANTS,AMAZONAS  ,MASCULINO
TODOS POR EL PERU,MANUEL OSCAR RODRIGUEZ TORRES,LIMA LIMA ,MASCULINO
TODOS POR EL PERU,GABRIELA GEORGINA NORABUENA JACOME,ANCASH  ,FEMENINO
TODOS POR EL PERU,OSCAR ANNELO OSCANOVA CRUZ,SAN MARTIN  ,MASCULINO
TODOS POR EL PERU,KAREM MELISA CUEVA PAREDES,SAN MARTIN  ,FEMENINO
TODOS POR EL PERU,IRMA PANDURO TORRES,SAN MARTIN  ,FEMENINO
TODOS POR EL PERU,RUTH TEONILA CORDOVA QUISPE,TACNA  ,FEMENINO
TODOS POR EL PERU,DAN ROBERT INOLOPU ALEMAN,TUMBES  ,MASCULINO
TODOS POR EL PERU,TOMY DUPUY VILLANUEVA AREQUIPEÑO,CAJAMARCA  ,MASCULINO
TODOS POR EL PERU,MAVILO ROMERO TORRES,TACNA  ,MASCULINO
TODOS POR EL PERU,CARMEN ENRIQUETA HEREDIA CUCHO,LIMA  ,FEMENINO
TODOS POR EL PERU,CLUBER JESUS ARAMBURU,LIMA  ,MASCULINO
TODOS POR EL PERU,CESAR ALBERTO ABANTO NORIEGA,PIURA  ,MASCULINO
TODOS POR EL PERU,ANGEL PEDRO RUIZ MENDEZ,LA LIBERTAD  ,MASCULINO
TODOS POR EL PERU,EDGAR AMILCAR ZUÑIGA MIRANDA,ANCASH  ,MASCULINO
TODOS POR EL PERU,SARA ISABEL CAMARENA MURGADO,LIMA  ,FEMENINO
TODOS POR EL PERU,VITTORIO ALFONSO BRISSOLESE PAZ,CALLAO  ,MASCULINO
TODOS POR EL PERU,CARMEN ROSA RIOS GUTIERREZ,CALLAO  ,FEMENINO
TODOS POR EL PERU,PAUL ANTONIO SOBRADO NUNTA,LIMA  ,MASCULINO
TODOS POR EL PERU,CLARA MERA DE DIAZ,UCAYALI  ,FEMENINO
TODOS POR EL PERU,FREDI YONI TARAZONA MILLA,LIMA  ,MASCULINO
TODOS POR EL PERU,CARLOS RAMOS MONTES,APURIMAC  ,MASCULINO
TODOS POR EL PERU,AYDEE ESPINOZA PALOMINO,APURIMAC  ,FEMENINO
TODOS POR EL PERU,WILLIAMS AUCCAHUASI ALMIDON,MADRE DE DIOS  ,MASCULINO
TODOS POR EL PERU,EDGAR DOMINGUEZ RIVERA,APURIMAC  ,MASCULINO
TODOS POR EL PERU,RUTH GUTIERREZ ORE,LORETO  ,FEMENINO
TODOS POR EL PERU,ZAIDA GINA MALAGA IBAÑEZ,MOQUEGUA  ,FEMENINO
TODOS POR EL PERU,ANA CECILIA LOPEZ SALAZAR,AREQUIPA  ,FEMENINO
TODOS POR EL PERU,LEONCIO PEDRO AMUDIO PEÑA,AREQUIPA  ,MASCULINO
TODOS POR EL PERU,JOSE ALBERTO CHOCANO POLAR,AREQUIPA  ,MASCULINO
TODOS POR EL PERU,ALDO ALEJANDRO HERNANI CRESPO,AREQUIPA  ,MASCULINO
TODOS POR EL PERU,JOSE ANTONIO NUÑEZ SALAS,AREQUIPA  ,MASCULINO
TODOS POR EL PERU,EDITH BAUTISTA LEON,AYACUCHO  ,FEMENINO
TODOS POR EL PERU,JUSTO IRWIN GONZALES AGUADO,AYACUCHO  ,MASCULINO
TODOS POR EL PERU,EDWIN ALFREDO BUSTIOS SAAVEDRA,AYACUCHO  ,MASCULINO
TODOS POR EL PERU,CAROLINA DEL PILAR ZAVALA JANAMPA,LA LIBERTAD  ,FEMENINO
TODOS POR EL PERU,MARIA ELENA VERA CORREA,CAJAMARCA  ,FEMENINO
TODOS POR EL PERU,ALAN BENEL CERNA,CAJAMARCA  ,MASCULINO
TODOS POR EL PERU,ANGEL EDUARDO SANCHEZ ALVAREZ,TUMBES  ,MASCULINO
TODOS POR EL PERU,CARLOS ANTONIO REYES PAREJA,ANCASH  ,MASCULINO
TODOS POR EL PERU,LUIS ALBERTO DIAZ MORALES,CAJAMARCA  ,MASCULINO
TODOS POR EL PERU,EDGAR QUISPE HUMPIRE,CUSCO  ,MASCULINO
TODOS POR EL PERU,SANDRO CRISTOPHER MERCADO PHILCO,UCAYALI  ,MASCULINO
TODOS POR EL PERU,DARLY MADGUALIDA MEDINA VERA,MADRE DE DIOS  ,FEMENINO
TODOS POR EL PERU,URPI BARRETO RIVERA,CUSCO  ,FEMENINO
TODOS POR EL PERU,CLAUDIA ANDIA CHINO,CUSCO  ,FEMENINO
TODOS POR EL PERU,PABLO HUAMAN HUILLCA,MADRE DE DIOS  ,MASCULINO
TODOS POR EL PERU,PABLO FIDEL GRAJEDA ANCCA,CUSCO  ,MASCULINO
TODOS POR EL PERU,MAXIMO YLLA QUILLAHUAMAN,CUSCO  ,MASCULINO
TODOS POR EL PERU,MANUEL VILLALVA MORAN,LIMA  ,MASCULINO
TODOS POR EL PERU,ELENA ATAUJE TRILLO,HUANCAVELICA  ,FEMENINO
TODOS POR EL PERU,ELSA RIVEROS BUJAICO,HUANCAVELICA  ,FEMENINO
TODOS POR EL PERU,CESAR CORTIJO ARRIETA,LIMA  ,MASCULINO
TODOS POR EL PERU,JUANA MAURA UMASI LLAVE,LIMA  ,FEMENINO
TODOS POR EL PERU,CARMEN FELIPE SOTO,ICA  ,FEMENINO
TODOS POR EL PERU,GLADYS EVELYN BAZAN GALLARDO,HUANUCO  ,FEMENINO
TODOS POR EL PERU,JUAN PABLO DANIEL FIGUEROA VALDERRAMA,AMAZONAS  ,MASCULINO
TODOS POR EL PERU,CRISTINA DORA RAMOS PRIMO,TUMBES  ,FEMENINO
