ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,INSTITUCION,CARGO,ANIO_INICIO,ANIO_FINAL
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,PUCP,Consejo Directivo de Alimentación,2011,Actualidad
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,FREDEJUV,Presidente,2015,2015
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,PUCP,Centro Federado de Derecho,2014,Actualidad
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,MUNICIPALIDAD DE HUANCAYO,ALCALDE,1990,1992
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,MUNICIPALIDAD DE HUANCAYO,REGIDOR,1984,1986
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Sociedad Civil Organizada de Madre de Dios,Presidente,2014,Actualidad
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,Vocal ,Asociación Los Tumbos  ,2015,2016
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,Asociación SAVE,Presidenta ,1999,Actualidad
ACCION POPULAR,CONGRESISTA,VALERIANA ELIZABETH,YEPEZ YOVED,INO,SECRETARIA DE ORGANIZACION,2015,Actualidad
ACCION POPULAR,CONGRESISTA,VALERIANA ELIZABETH,YEPEZ YOVED,FENUTSSA,SECRETARIA NACIONAL DE LA MUJER,2011,Actualidad
ACCION POPULAR,CONGRESISTA,VICTOR JUAN,VALDIVIA REYES,SINACOTTT,SECRETARIO GENERAL,2015,Actualidad
ACCION POPULAR,CONGRESISTA,VICTOR JUAN,VALDIVIA REYES,FEDERACION DE TRABAJADORES DEL TRANSPORTE DEL PERU,SECRETARIO GENERAL,2006,2008
ACCION POPULAR,CONGRESISTA,VICTOR MARIANO,MARIN NEYRA,SUTEP - TACNA,DIRIGENTE SINDICAL,2003,2004
ACCION POPULAR,CONGRESISTA,VICTOR MARIANO,MARIN NEYRA,SUTEP - TARATA,SECRETARIO GENERAL,1990,1991
ACCION POPULAR,CONGRESISTA,YANETT,FERIA DE TONG,COMITE EJECUTIVO SUTEP PIURA,SECRETARIA PROVINCIAL - SUTEP,2003,2005
ACCION POPULAR,CONGRESISTA,YANETT,FERIA DE TONG,MUNICIPALIDAD DE CENTRO POBLADO MENOR MALACASÍ,PRESIDENTA DE COMITE DE DAMAS,2013,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AGUSTINA CARMELA,TORRES RODRIGUEZ,MUNICIPALIDAD DISTRITAL DE LOS OLIVOS - LIMA,JEFE DE PROYECTO DE REACTIVACIÓN ECONÓMICA,1998,1998
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AGUSTINA CARMELA,TORRES RODRIGUEZ,BID-PMDE-PCM,CONSULTOR EN PLANIFICACIÓN Y PRESUPUESTO,2008,2008
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AMERICO,CABECILLA GALVEZ,CONSEJO REGIONAL DE LOS PUEBLOS INDIGENAS DE JUNIN SELVA CENTRAL,COORDINADOR,2013,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ARLES,OGOSI HUAMANI,Colegio de Ingenieros - Consejo Departamental de Ayacucho,Secretario capitulo agronómica,2013,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CESAR AUGUSTO,SANDOVAL NIZAMA,COLEGIO DE ABOGADOS DE LIMA,"MIEMBRO DE LA COMISIÓN CONSULTIVA PETRÓLEO ""B""",1973,1973
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CESAR AUGUSTO,SANDOVAL NIZAMA,CORTE SUPERIOR DE LIMA,VOCAL SUPERIOR SUPLENTE,1984,1984
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,MINISTERIO DE LA PRODUCCIÓN ,REPRESENTANTE DEL N.E. BUZOS,2011,2011
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,DANIEL HUGO,BARRAGAN COLOMA ,ASOCIACIÓN NACIONAL DE EMPRENDEDORES - ANDE,DIRECTOR VOCAL,2011,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDELMIRA NELIDA,UGALDE EVANGELISTA ,COMITÉ DE APOYO SOCIAL A LA MUNICIPALIDAD DE EL AGUSTINO,PRESIDENTA,2003,2004
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDELMIRA NELIDA,UGALDE EVANGELISTA ,COMITÉ CÍVICO DE LA COMISARIA DE EL AGUSTINO,PRESIDENTA,2008,2014
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDWIN JAIME,LAMCHOG QUISPE,FATCOPI,Presidente,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDWIN JAIME,LAMCHOG QUISPE,Mesa Directiva del P.P. M.P.I.,Vice Presidente,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUISSELLA AYDE,COLLANTES VÁSQUEZ,INSTITUTO NACIONAL DE DEFENSA CIVIL-INDECI-,OPERADORA PAD,2001,2001
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUSTAVO BERNARDO,RONDON FUDINAGA,MESA DE CONCERTACION,ASESOR,2009,2011
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUSTAVO BERNARDO,RONDON FUDINAGA,APROCIENCIA,PRESIDENTE,2008,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,IBAR,QUINTANA MOSCOSO,SALUD,DIRECTOR REGIONAL DE SALUD,2006,2008
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,IBAR,QUINTANA MOSCOSO,MINISTERIO DE SALUD,DIRECTOR SECTORIAL DE LA DIRECCION GENTRAL DE GESTION Y DESARROLLO DE RECURSOS H,2008,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ROOSEWELT,MINAYA CASTROMONTE,UNIVERSIDAD NACIONAL SANTIAGO ANTUNEZ DE MAYOLO,RECTOR,1984,1988
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE,HINOSTROZA AUCASIME,Colegio de Notarios de Ayacucho,Decano,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE,HINOSTROZA AUCASIME,Colegio de Notarios de Ayacucho,Presidente del tribunal de Honor,2013,2014
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ALEJANDRO,VEGA ANTONIO ,Banco Comercial,Delegado representante ante la Federación de Empleados Bancarios del Perú,1980,1983
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ALEJANDRO,VEGA ANTONIO ,Banco Popular,Dirigente de la Federación de Empleados Bancarios base Banco Popular,1985,1992
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE AUGUSTO,ARCE PAREDES ,FER CATOLICA ,VICE PRESIDENTE,2014,2014
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE AUGUSTO,ARCE PAREDES ,FER CATOLICA,PRESIDENTE,2013,2013
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JUAN HILMER,GONZALES SANDOVAL ,ASOCIACIÓN DE OFICIALES GENERALES DE LA PNP,PRESIDENTE,2014,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,KAREN DENISSE,MANDUJANO ATENCIO,Parlamento Joven,Presidenta de la Comisión de la Mujer,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,KAREN DENISSE,MANDUJANO ATENCIO,Asociación Nacional de Autoridades Políticas Jóvenes,Presidenta,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,MATOS DEL POZO ,FEDERACIÓN DE PERIODISTAS DEL PERÚ,SECRETARIO DE ORGANIZACIÓN DE LIMA,2012,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS DANTE,ZUBIA CORTEZ,Municipalidad Provincial de Paucarpata,Asesor de Alcaldía,2008,2009
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS DANTE,ZUBIA CORTEZ,CTAR Moquegua,Sub Gerente Regional - Pdte. CTAR,1996,1998
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS PELAYO,AGUILAR ARENAZA ,ASOCIACIÓN DEPORTIVA RACING HERMITAÑO,PRESIDENTE,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCO ANTONIO,ACOSTA ASHTU,INSTITUTO MUNDO SOLIDARIO - ONG,PRESIDENTE,2003,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCO TULIO,SOTO GUTIERREZ,MINSA MOQUEGUA,PRESIDENTE DEL COLEGIO MEDICO DE MOQUEGUA,2000,2001
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARCO TULIO,SOTO GUTIERREZ,MINSA MOQUEGUA,SUB DIRECTOR REGIONAL DE SALUD,2001,2002
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARLENY,SONCCO FARFAN,COLEGIO DE ABOGADOS DEL CUSCO,SECRETARIA DEL CONSEJO DE FISCALIZACIÓN ,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,COLEGIO DE ABOGADOS DE LIMA,VICE-DECANO,1999,2000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,COLEGIO DE ABOGADOS DE LIMA,DECANO,2000,2002
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,NOELIA VERONICA,GALLEGOS GONZALES,UNIVERSIDAD CATOLICA SANTA MARIA,CONSEJERA DE FACULTAD,2010,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,PEDRO ESTEBAN,ARREDONDO MENDOZA ,MINISTERIO DEL INTERIOR ,GOBERNADOR DE LIMA,2001,2002
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,PORFIRIO,VARGAS QUISPE,AMUCEP - REGION PUNO,PRESIDENTE,2013,2015
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,PORFIRIO,VARGAS QUISPE,AMUCEP - PERU,PRESIDENTE,2014,2016
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,REYNA DEL ROSARIO,ROSAS YOVERA DE JARA,COMITÉ VIGILANCIA PRESUPUESTO PARTICIPATIVO,VOCAL,2015,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,REYNA DEL ROSARIO,ROSAS YOVERA DE JARA,JUVECO ASENT.H. LOS PINOS,SECRETARIA GENERAL,2013,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,SOLEDAD MARITZA,MUCHA MATEO,GOBIERNO REGIONAL DE JUNIN,PROMOTOR TECNICO,2012,2012
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,VICTOR HUGO,AGUILAR CHAVEZ ,FETRAMUN MACRO REGION SUR,SECRETARIO GENERAL COLEGIADO,2004,2016
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILFREDO,QUISPE GUTIERREZ ,ASOCIACION COMISION DE AGUA Y DESAGUE J.L.B Y R. APIPA,PRESIDENTE,2012,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILFREDO,QUISPE GUTIERREZ ,CENTRO COMERCIAL Nª 1 ALECOFEMYP,PRESIDENTE,2012,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,CPP-CONSEJO REGIONAL APURIMAC,DELEGADO ANTE EL CONSEJO NACIONAL DEL COLEGIO DE PERIODISTAS DEL PERU,2016,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,ASOCIACIÓN DE CREACIÓN Y FUNCIONAMIENTO DE LA UNAMBA,VICE-PRESIDENTE COLEGIADO,2001,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,FRENTE DE LOS INTERESES DE APURIMAC,PRESIDENTE,2002,2006
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,COLEGIO PERIODISTAS DEL PERU - CONSEJO DEPARTAMENTAL APURIMAC,PRESIDENTE DE LA COMISION ORGANIZADORA DEL COLEGIO DE PERIODISTAS APURIMAC,1980,1982
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRESIDENTE DE LA REPUBLICA,HERNANDO,GUERRA GARCIA CAMPOS,ASOCIACIÓN NACIONAL DE EMPRENDEDORES,PRESIDENTE,2009,Actualidad
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,GUSTAVO BERNARDO,RONDON FUDINAGA,APROCIENCIA,PRESIDENTE,2008,2010
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,GUSTAVO BERNARDO,RONDON FUDINAGA,MESA DE CONCERTACION,ASESOR,2009,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ALEX BENITO,NEYRA ARANA ,UNIVERSIDAD NACIONAL DE TUMBES,REPRESENTANTE ESTUDIANTIL ANTE LA ASAMBLEA UNIVERSITARIA,2003,2005
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ALEX BENITO,NEYRA ARANA ,UNIVERSIDAD NACIONAL DE TUMBES,REPRESENTANTE ESTUDIANTIL ANTE EL CONSEJO UNIVERSITARIO,2006,2008
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ANNER,ROMAN NEIRA ,GOBIERNO REGIONAL CAJAMARCA,MIEMBRO DEL CONSEJO DE COORDINACIÓN,2011,2012
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,AUGUSTO LEONEL,ZAMORA HERRERA ,COLEGIO MEDICO DEL PERÚ,TESORERO,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,AUGUSTO LEONEL,ZAMORA HERRERA ,ASOC. NACIONAL DE MEDICOS DEL PERÚ,SECRETARIO ORGANIZACIÓN,2009,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CARLOS HUMBERTO,SAMPEN FERNANDEZ ,ASOCIACIÓN MUTUALISTA DE TÉCNICOS Y SUBOFICIALES DEL EJERCITO DEL PERÚ,PRESIDENTE,2001,2007
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR ALFREDO,PALOMINO COLINA ,COLEGIO MEDICO,DECANO NACIONAL,2014,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR ALFREDO,PALOMINO COLINA ,FEDERACIÓN MEDICA,PRESIDENTE,2011,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR TEDDY,UBILLUS OLEMAR ,JUNTA REGIONAL PIURA TUMBES,PRESIDENTE,2014,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CESAR TEDDY,UBILLUS OLEMAR ,JUNSTA USUARIOS ALTO PIURA,PRESIDENTE,2014,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CRISTOBAL EUDOS,CAPCHA GUERRA,"FEDERACION NACIONAL DE ASOCIACIONES, EMPRESAS, TRABAJADORES DE TAXI Y COLECTIVOS",PRESIDENTE,2009,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CRISTOBAL EUDOS,CAPCHA GUERRA,ASOCIACION DE CHOFERES PROFESIONALES TAXI CONSTELACIÓN DEL MILENIO,PRESIDENTE,2008,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,DANIEL,QUIROZ ORIHUELA ,EQUIPO DE FUTBOL ALFONSO UGARTE DE PUNO,VICEPRESIDENTE ,2014,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDWIN ALBERTO,DONAYRE GOTZCH,CAMBIO RADICAL,CANDIDATO AL CONGRESO,2011,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDWIN ULISES,LLANA BALDEON ,COLEGIO DE INGENIEROS DEL PERÚ,DIRECTOR NACIONAL,2013,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,FELIX ALBERTO,CAMPOS CACERES ,FEDERACION DE TRABAJADORES MUNICIPALES DEL PERU - FETRAMUNP,SECRETARIO GENERAL COLEGIADO,2001,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,FELIX ALBERTO,CAMPOS CACERES ,SINDICATO TRABAJADORES MUNICIPALES DE PIURA - SITRAMUNP,SECRETARIO GENERAL,2007,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GELACIO LOMBARDO,MAUTINO ANGELES ,CLUB DEPORTIVO SPORT ROSARIO,PRESIDENTE,1996,2003
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GELACIO LOMBARDO,MAUTINO ANGELES ,CLUB DEPORTIVO SPORT ROSARIO,PRESIDENTE,2011,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,ASOCIACION SANTA ROSA COMIDAS COCIDAS TERRAZAS DEL MERCADO MODELO LAMBAYEQUE,PRESIDENTA,2006,2007
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,ASOCIACION SANTA ROSA COMIDAS COCIDAS TERRAZAS DEL MERCADO MODELO LAMBAYEQUE,PRESIDENTA,2007,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,AAHH UPIS LOS ANGELES,TENIENTE GOBERNADORA,1998,1999
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,PRESIDENTA DE COMITE DE VIGILANCIA P.P.P,2008,2009
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,ASOCIACION SANTA ROSA COMIDAS COCIDAS TERRAZAS DEL MERCADO MODELO,PRESIDENTE,2015,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,GOBIERNO REGIONAL DE LAMBAYEQUE,MIEMBRO DEL GRUPO IMPULSOR DEL PLAN REGIONAL DE IGUALDAD DE OPORTUNIDADES,2009,Actualidad
