ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,INSTITUCION,CARGO,ANIO_INICIO,ANIO_FINAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,AAHH UPIS LOS ANGELES - LAMBAYEQUE,TENIENTE GOBERNADORA,2008,2009
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GICELLA JACQUELINE,SANTOYO DELGADO ,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,MIEMBRO DEL COMITE DE VIGILANCIA DE P.P.P.,2011,2012
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GIOVANNA JEANICE,ARANIBAR ROSAS ,ONG IDEAL PERU,PRESIDENTA,2007,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GLORIA EDELMIRA,MONTENEGRO FIGUEROA ,CLUB DE LEONES,PRESIDENTE,2006,2007
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GLORIA EDELMIRA,MONTENEGRO FIGUEROA ,ASOCIACIÓN DE MUNICIPALIDADES DEL PERÚ,PRESIDENTE,2014,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,MAGISTERIO,SUTE DEMOCRATICO,2000,2001
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JAVIER,YAURI SALOME ,LIGA DEPARTAMENTAL DE FUTBOL DE JUNIN,PRESIDENTE DE LA COMISION DE JUSTICIA,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JORGE FAUSTO,SUMARI BUENDIA ,UNSA,DOCENTE ESTATUTARIO,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JORGE FAUSTO,SUMARI BUENDIA ,COLEGIO DE ABOGADOS DE AREQUIPA,DIRECTOR DE RR. PP. C.A.A.,2010,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE AUGUSTO,PERALES AVENDAÑO,FEVENDRELP,SECRETARIO NACIONAL DE ORGANIZACION,2004,2006
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE AUGUSTO,PERALES AVENDAÑO,FEUNEVDRYL,SUB SECRETARIO,2014,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN ANTONIO,JARA GALLARDO ,CORPORACION PERUANA DE GAS DEL PERU,PRESIDENTE,2011,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN NOE,CORNEJO CHINGUEL ,ASOCIACIÓN PERUANA NACIONAL DE TÉCNICOS DE RADIOLOGÍA ,PRESIDENTE DE LA ASOCIACIÓN DEPARTAMENTAL DE TÉCNICOS EN RADIOLOGÍA,1980,1985
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN NOE,CORNEJO CHINGUEL ,COOPERATIVA DE AHORRO Y CRÉDITO DE CHICLAYO,PRESIDENTE DE CONSEJO DE ADMINISTRACIÓN,2007,2008
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JULIO EUSEBIO,FLORES PASCAJA ,C.G.T.P. TACNA,SECRETARIO GENERAL,2008,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JULIO EUSEBIO,FLORES PASCAJA ,SINDICATO DE TRABAJADORES DE CONSTRUCCIÓN CIVIL - TACNA,SECRETARIO GENERAL,2014,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LILIA,VARGAS CESPEDES ,RED NACIONAL DE MUJERES AUTORIDADES LOCALES Y REGIONALES DEL PERU - RENAMA,SECRETARIA DE ASUNTOS INTERNACIONALES,2009,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LILIA,VARGAS CESPEDES ,ASOCIACION DE REGIDORAS DE LA REGION APURIMAC - ARERA,PRESIDENTA,2009,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LILIA,VARGAS CESPEDES ,ASOCIACION DE REGIDORAS DE LA REGION APURIMAC - ARERA,PRESIDENTA,2014,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS AMERICO,MENENDEZ ROJAS,FRENTE PATRIOTICO LORETO,PRESIDENTE,2013,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MANUEL SILVERIO,YTO SEGUIL ,APIC,PRESIDENTE,1980,1984
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MANUEL SILVERIO,YTO SEGUIL ,APIC,PRESIDENTE,2012,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ELSA,QUELLO BARRANTES ,ASOCIACIÓN URBANIZADORA SANTA SARAGOZA DE PROYECTO AGUA Y DESAGUE,PRESIDENTA,2012,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ELSA,QUELLO BARRANTES ,CONFEDERACIÓN DE RONDAS CAMPESINAS URBANAS Y NATIVAS,SECRETARIA DE SEGURO SOCIAL Y SALUD,2013,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ELSA,QUELLO BARRANTES ,ASOCIACIÓN DE PRESIDENTES DE LAS CUATRO ZONAS - JULIACA,SECRETARIA DE ECONOMIA,2014,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ELSA,QUELLO BARRANTES ,ASOCIACIÓN URBANIZADORA SANTA SARAGOZA,PRESIDENTA,2014,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MILAGRITOS ALICIA,CARRASCO ARONES,DIRESA,SECRETARIA GENERAL,2011,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NESTOR ARMANDO,PARI GONZALES ,LIGA DEPARTAMENTAL DE FUTBOL - TACNA,PRESIDENTE CJ/LIDEFTA,2012,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO GERARDO,REJAS TATAJE ,EJECITO DEL PERÚ,INTEGRANTE OPERACIÓN CHAVIN DE HUANTAR,1996,1997
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO GERARDO,REJAS TATAJE ,EJERCITO DEL PERÚ,JEFE COMITÉ AUTODEFENSA FRENTE HUAMANGA(HOY VRAE),1990,1991
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROGER FERNANDO,GRANDEZ RIOS ,COLEGIO DE ECONOMISTAS DE LORETO,DECANO ,2011,2012
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSA YOLANDA,VIGIL PEREZ ,UNIPOL,M.R.,2009,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSA YOLANDA,VIGIL PEREZ ,"M.R. ""FUERZA LORETANA""",CANDIDATA ALCALDESA DISTRITAL,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSSMARY,MALPARTIDA OSTOS ,"ORGANIZACIONES JUVENILES CONTRA EL RÉGIMEN LABORAL JUVENIL 30288 (""LEY PULPIN"")",COORDINADORA LEGAL,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSSMARY,MALPARTIDA OSTOS ,CONSEJO METROPOLITANO DE PARTICIPACIÓN DE LA JUVENTUD DE LIMA,SECRETARIA GENERAL METROPOLITANA,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSSMARY,MALPARTIDA OSTOS ,JUNTA TRANSITORIA DE LA ASAMBLEA NACIONAL DE CONSEJOS REGIONALES JUVENILES,MIEMBRO,2015,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSSMARY,MALPARTIDA OSTOS ,CONSEJO DISTRITAL DE PARTICIPACIÓN DE LA JUVENTUD DE PUENTE PIEDRA,SECRETARIA GENERAL,2014,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSSMARY,MALPARTIDA OSTOS ,ASOCIACIÓN DE EMPRENDEDORES UNIVERSITARIOS DEL PERU,VICEPRESIDENTA,2014,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,SANDRA NOELHY,ARAGON CRUZ ,ALIANZA PARA EL PROGRESO,RESPONSABLE DE ALIANZA PROGRESISTA ESTUDIANTIL,2013,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,SANDRA NOELHY,ARAGON CRUZ ,ALIANZA PARA EL PROGRESO,CANDIDATA A REGIDOR PROVINCIAL,2014,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,SONIA RAFAELA,CALDERON QUIÑONES ,MINISTERIO PUBLICO,SECIGRISTA,2013,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,MML-EMAPE,DIRECTOR,2007,2008
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,PATRONATO PERUANO DE LA MUSICA,VOCAL,2004,2009
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILBER RAUL,HURTADO TERRAZAS ,FRENTE DE DEFENSA NORESTE DEL CUSCO,PRESIDENTE,2013,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILBER RAUL,HURTADO TERRAZAS ,FRENTE DE DEFENSA NORESTE DEL CUSCO,PRESIDENTE,2015,2016
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,CANCILLERÍA DE FRANCIA,PARTICIPANTE EN PROGRAMA DE VISITANTES,1998,1998
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,FUNDACIÓN CANADIENSE DE DD.HH.,PARTICIPANTE EN SEMINARIO ANUAL SOBRE DD. HH.,1996,1996
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,PARLAMENTO LATINOAMERICANO,SECRETARIA DE RELACIONES INTERINSTITUCIONALES,2002,2006
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,PARLAMENTARIOS LATINOAMERICANOS CONTRA LA CORRUPCIÓN,PRESIDENTA,2003,2005
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,FORTALECIMIENTO DE PARTIDOS POLÍTICOS Y LA DEMOCRACIA EN AMÉRICA LATINA,COMPILADORA DE LIBRO,2004,2004
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,VITAL VOICES GLOBAL PARTNERSHIP,MIEMBRO DEL CONSEJO CONSULTIVO MUNDIAL,2005,Actualidad
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,EN NOMBRE DE LA LEY DIARIO DE DEBATES Y BATALLAS PARLAMENTARIAS,AUTORA DE LIBRO,2001,2001
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,ASOCIACIÓN PRENSA LIBRE,FUNDADORA,1999,2000
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,TRANSPARENCIA INTERNACIONAL,EXPO. CONFERENCIA SOBRE LOS DESAFÍOS EN LA PLATAFORMA ANTICORRUPCIÓN DE LOS GOB.,2004,2004
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,CONSEJO BRITÁNICO,PARTICIPANTE EN SEMINARIO AMÉRICA LATINA Y EUROPA COOP. Y COMPETENCIA,1998,1998
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,TRANSPARENCIA INTERNACIONAL,EXPO. EN LA 10° CONFERENCIA INTERN. ANUAL ANTICORRUPCIÓN,2001,2001
ALIANZA POPULAR,CONGRESISTA,ALONSO ALBERTO,NAVARRO CABANILLAS,DE LA ASAMBLEA NACIONAL DE GOBIERNOS REGIONALES,PRESIDENTE ,2014,2015
ALIANZA POPULAR,CONGRESISTA,AMELIA,UGARTE QUIROZ CURO DE SOTOMAYOR,COLEGIO ODONTOLOGICO,DELEGADA DEL CIRCULO ODONTOLOGICO,2015,2016
ALIANZA POPULAR,CONGRESISTA,AMELIA,UGARTE QUIROZ CURO DE SOTOMAYOR,COLEGIO ODONTOLOGICO,PRESIDENTE JUNTA TRANSITORIA,2006,2007
ALIANZA POPULAR,CONGRESISTA,ANA CECILIA,URE SERRANO ,COPALE QUISPICANCHI,VICE PRESIDENTA,2015,Actualidad
ALIANZA POPULAR,CONGRESISTA,ANA CECILIA,URE SERRANO ,Grupo Impulsor Por la Descentralizacion,Secretaria Tecnica,2013,2015
ALIANZA POPULAR,CONGRESISTA,CIRO JESUS,RODRIGUEZ ALIAGA,COLEGIO MEDICO,DECANO COLEGIO MEDICO,2004,2005
ALIANZA POPULAR,CONGRESISTA,CIRO JESUS,RODRIGUEZ ALIAGA,FEDERACION MEDICA PERUANA,PRESIDENTE DE LA FEDERACION MEDICA PERUANA REGION A.A.C.D.,2000,Actualidad
ALIANZA POPULAR,CONGRESISTA,DANTE ADOLFO,DE CORDOVA VELEZ ,SAN VICENTE - CURACA,PDTE COMISION DE REGANTES,2015,2016
ALIANZA POPULAR,CONGRESISTA,ERASMO ALEJANDRO,FERNANDEZ SIXTO,UNHEVAL,Vicerrector Adm.,2008,2010
ALIANZA POPULAR,CONGRESISTA,ERASMO ALEJANDRO,FERNANDEZ SIXTO,UNHEVAL,Decano Ing. Civil,2015,2015
ALIANZA POPULAR,CONGRESISTA,FERNANDO,ALFARO JIMENEZ ,GOBIERNO REGIONAL LA LIBERTAD,CONSEJERO REGIONAL ACCESITARIO,2002,2006
ALIANZA POPULAR,CONGRESISTA,FERNANDO GARI,HUAYHUA LEVANO ,PPC,SECRETARIO DE JUVENTUDES,1999,2004
ALIANZA POPULAR,CONGRESISTA,FLAVIA AVELINA,CRUZADO ULLOA DE REYES,MINISTERIO DE SALUD,VOCAL DE ADAVAMINSA,2007,2010
ALIANZA POPULAR,CONGRESISTA,FLAVIA AVELINA,CRUZADO ULLOA DE REYES,COLEGIO OBSTETRA PERU,VICE DECANA NACIONAL,2007,2009
ALIANZA POPULAR,CONGRESISTA,FLOR DE MARIA,TRUJILLO MARCELO,ROTARY CLUB CHIMBOTE NORTE,PRESIDENTE,2015,2016
ALIANZA POPULAR,CONGRESISTA,FLOR DE MARIA,TRUJILLO MARCELO,COLEGIO ODONTOLOGICO ANCASH - CHIMBOTE,DECANA,1998,Actualidad
ALIANZA POPULAR,CONGRESISTA,FRANKLIN HUMBERTO,SANCHEZ ORTIZ ,ABIMBEN6,Presidente del DBI Mcenio,1999,2002
ALIANZA POPULAR,CONGRESISTA,FREDDY ALBERTO,GHILARDI ALVAREZ,Municipalidad de Cajamarca,Regidor,1980,1983
ALIANZA POPULAR,CONGRESISTA,GRACIELA NORA,DIAZ DUEÑAS,CLUB DE LEONES,PRIMERA VICE PRESIDENTA ,2015,2016
ALIANZA POPULAR,CONGRESISTA,GRACIELA NORA,DIAZ DUEÑAS,JUNTA VECINAL UR. HUASCAR,PRESIDENTA,2013,Actualidad
ALIANZA POPULAR,CONGRESISTA,JORGE ALFONSO ALEJANDRO,DEL CASTILLO GALVEZ,PCM,PRESIDENTE DEL CONSEJO DE MINISTROS,2006,2008
ALIANZA POPULAR,CONGRESISTA,JUAN CARLOS,EGUREN NEUENSCHWANDER ,CONGRESO DE LA REPUBLICA,VICEPRESIDENTE DEL CONGRESO,2012,2013
ALIANZA POPULAR,CONGRESISTA,LUIS DANIEL,WILSON UGARTE,COLEGIO MEDICO,DECANO CR VI,2004,2005
ALIANZA POPULAR,CONGRESISTA,LUIS DANIEL,WILSON UGARTE,FEDERACOIN MEDICA CUSCO,SEC. GRAL.,2002,2003
ALIANZA POPULAR,CONGRESISTA,MARIA DEL CARMEN,VALENCIA CASAS DE SIMBRON,Comite de Vaso de Leche de Independencia,Vice presidenta,2009,2012
ALIANZA POPULAR,CONGRESISTA,MARIA DEL CARMEN,VALENCIA CASAS DE SIMBRON,Organizacion de Vaso de Leche de Independencia,Coordinadora de Comite 37,2006,2008
ALIANZA POPULAR,CONGRESISTA,MARIO FERNANDO,JERI KURIYAMA,COMITE CIVICO PNP,PRESIDENTE,2000,2015
ALIANZA POPULAR,CONGRESISTA,MARIO FERNANDO,JERI KURIYAMA,CAMARA LE COMERCIO CHANCHAMAYO ,VICE PRECIDENTE,2002,2003
ALIANZA POPULAR,CONGRESISTA,MARITZA,CASTRO TAVARA,UNA  PUNO,DIRECTORA MAESTRIA EN TRABAJO SOCIAL,2014,2016
ALIANZA POPULAR,CONGRESISTA,MARITZA,CASTRO TAVARA,A TRABAJAR URBANO MINISTERIO TRABAJO,JEFE AREA CAPACITACION,2013,Actualidad
ALIANZA POPULAR,CONGRESISTA,MAVILA ESTHER,VASQUEZ DIAZ,TU CULTURA PERU,VICEPRESIDENTA,2011,Actualidad
ALIANZA POPULAR,CONGRESISTA,MAVILA ESTHER,VASQUEZ DIAZ,SINERGIA - ONG,FUNDADORA Y DIRECTORA,2011,Actualidad
ALIANZA POPULAR,CONGRESISTA,MERCEDES MILAGROS,NUÑEZ GUTIERREZ ,CTP REGIÓN AREQUIPA,SECRETARIA REGIONAL,2010,2010
ALIANZA POPULAR,CONGRESISTA,MOISES ELIAS,MONTENEGRO LOPEZ,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,VICE PRESIDENTE DE LA FEDERACION DE DOCENTE UNPRG,2013,2014
ALIANZA POPULAR,CONGRESISTA,MOISES ELIAS,MONTENEGRO LOPEZ,UNIVERSIDAD SAN MARTIN DE PORRES - FILIAL NORTE,DELEGADO PERUANO PARA EL CONGRESO INTERNACIONAL DE EDUCACIÓN SUPERIOR,2010,2010
ALIANZA POPULAR,CONGRESISTA,NERI FELIPE,TORRES GUTIERREZ ,COOP. CONSUMO SOUTHERN,PRESIDENTE COOPERATIVA,2014,2015
ALIANZA POPULAR,CONGRESISTA,NERI FELIPE,TORRES GUTIERREZ ,COLEGIO SAN LUIS,PRESIDENTE APAFA,2014,2014
ALIANZA POPULAR,CONGRESISTA,ORLANDO,SALAZAR QUISPE,AA.HH. SAN FERNANDO,SECRETARIO GENERAL,1994,1996
ALIANZA POPULAR,CONGRESISTA,OSCAR ENRIQUE,TORRES QUIROZ,Beneficencia Publica,Presidente de Directorio,1997,1999
ALIANZA POPULAR,CONGRESISTA,PABLO ABEL,REYES CALDERON,CONAPUP,PRESIDENTE,2010,2015
ALIANZA POPULAR,CONGRESISTA,PABLO ABEL,REYES CALDERON,FREDDIPP,PRESIDENTE,2001,2008
ALIANZA POPULAR,CONGRESISTA,ROCIO DEL PILAR,CARTOLIN ANDAMAYO,PARLAMENTO CONGRESO DE LA REPUBLICA,PARLAMENTARIA JOVEN,2013,2014
ALIANZA POPULAR,CONGRESISTA,ROCIO DEL PILAR,CARTOLIN ANDAMAYO,LIGA PERUANA DE DEBATE Y ARGUMENTACION,PRESIDENTA,2014,2016
ALIANZA POPULAR,CONGRESISTA,SALOMON,ALIAGA PEREZ,Colegio Odontologico del Peru,Decano Departamental Ucayali,2000,Actualidad
ALIANZA POPULAR,CONGRESISTA,SALOMON,ALIAGA PEREZ,Asistente de Gobernacion  Distrito 4465,Rotary Internacional,2015,2016
ALIANZA POPULAR,CONGRESISTA,SARITA SOBEYDA,QUISPE MARCA ,MININTER,TENIENTE GOBERNADOR,2007,2010
ALIANZA POPULAR,CONGRESISTA,VICTOR GERMAN,BOLUARTE MEDINA ,SUNARP-CUSCO,JEFE ZONAL,2007,2011
ALIANZA POPULAR,CONGRESISTA,VICTOR GERMAN,BOLUARTE MEDINA ,COLEGIO DE ABOGADOS,DECANO,2008,2009
ALIANZA POPULAR,CONGRESISTA,VIRGINIO,CARRANZA DOMINGUEZ,INSTITUTO DE INVESTIGACION Y DESARROLLO SOCIAL,PRESIDENTE,2009,Actualidad
ALIANZA POPULAR,CONGRESISTA,WERCHIMANS,ARELLANO SUSANO,CLUB DE LEONES DE HUACHO,PRESIDENTE,2004,2006
ALIANZA POPULAR,CONGRESISTA,WERCHIMANS,ARELLANO SUSANO,CLUB DE LEONES PERU,GOBERNADOR DISTRITAL,2011,2012
ALIANZA POPULAR,CONGRESISTA,WILMER,TAPIA SAMANIEGO,COUNTRY CLUB LOS HUANCAS,PRESIDENTE,2014,2015
ALIANZA POPULAR,CONGRESISTA,WILMER,TAPIA SAMANIEGO,AUTOMOVIL CLUB DEL CENTRO ,VICEPRESIDENTE,2014,Actualidad
ALIANZA POPULAR,PRESIDENTE DE LA REPUBLICA,ALAN GABRIEL LUDWIG,GARCIA PEREZ,CONSTITUCION DEL ESTADO,SENADOR VITALICIO,1990,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,AMANDO LUCIO VICENTE,ZENTENO FLORES ,CONFEDERACION CANPESINA DEL PERU J.M.S,PRESIDENTE ,2008,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,ANANIAS WILDER,NARRO CULQUE,"DIARIO ""NUEVO SOL""","DIRECTOR GENERAL DEL DIARIO ""NUEVO SOL""",2009,2010
DEMOCRACIA DIRECTA,CONGRESISTA,ANDRES,SULLCARAY BENITO,3 EJES DEL MANTARO,PRESIDENTE,1997,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,ANDRES AVELINO,ALCANTARA PAREDES,ASOC. DE FONAVISTAS DE TRUJILLO,PRESIDENTE,1993,1996
DEMOCRACIA DIRECTA,CONGRESISTA,ANDRES AVELINO,ALCANTARA PAREDES,ASOC. NAC. DE FONAVISTAS DE LOS PUEBLOS DEL PERU,PRESIDENTE,1999,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,ANNABELLA,VILLEGAS DE CAYRO,ASOCIACIÓN DE PROFESORES CONDECORADOS CON PALMAS MAGISTERIALES,PRESIDENTA,2009,2011
DEMOCRACIA DIRECTA,CONGRESISTA,ANNABELLA,VILLEGAS DE CAYRO,ASOCIACIÓN DE PROFESORES CONDECORADOS CON PALMAS MAGISTERIALES,SECRETARIA DE DEFENSA,2015,2016
DEMOCRACIA DIRECTA,CONGRESISTA,CARMELA,CARBAJAL OTAROLA ,CONFEDERACION CAMPESINA Y NATIVOS DEL PERU,FRENTE DE DEFENSA Y DEL MEDIO AMBIENTE,2015,2016
DEMOCRACIA DIRECTA,CONGRESISTA,CARMELA,CARBAJAL OTAROLA ,CONFEDERACION CANPESINA DEL PERU,SECRETARIA DE LA MUJER Y DEL NIÑO,2008,2011
DEMOCRACIA DIRECTA,CONGRESISTA,CESAR AUGUSTO,BAZAN RUBIO ,COLEGIO DE INGENIEROS DEL PERU,PRESIDENTE CAPITULO ING. ELECTRONICA,1996,2001
DEMOCRACIA DIRECTA,CONGRESISTA,CESAR AUGUSTO,BAZAN RUBIO ,COLEGIO DE INGENIEROS DEL PERU,MIEMBRO ASAMBLEA,2016,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,CESAR JUAN,CORAL GARCIA,SUTEP MAYNAS,SECRETARIO GENERAL,2006,2007
DEMOCRACIA DIRECTA,CONGRESISTA,CESAR JUAN,CORAL GARCIA,FRENTE PATRIÓTICO DE LORETO,DIRIGENTE FRENTE PATRIÓTICO DE LORETO,2012,2015
DEMOCRACIA DIRECTA,CONGRESISTA,DAVID ORESTES,GONZALES MACHADO ,ASOCIACION DE DEFENSA Y BIENESTAR SOCIAL DE EXTRABAJADORES DEL BANCO POPULAR,PRESIDENTE,2001,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,DAVID ORESTES,GONZALES MACHADO ,CENTRO SOCIAL MUSICAL BARRIOS ALTO,PRESIDENTE,2016,2016
DEMOCRACIA DIRECTA,CONGRESISTA,DOMINGO WILLIAM,ANCCASI LOPEZ,FEDERACION DEPARTAMENTAL DE COMUNIDADES CAMPESINAS DE HUANCAVELICA,SECRETARIO GENERAL,2014,2015
DEMOCRACIA DIRECTA,CONGRESISTA,DOMINGO WILLIAM,ANCCASI LOPEZ,GANADERIA,PROPIETARIO,1985,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,EDGAR NELSON,QUISPE FLORES,ASOC DE COMERCIANTE AMANECER,PRESIDENTE,2006,2009
DEMOCRACIA DIRECTA,CONGRESISTA,EDGAR NELSON,QUISPE FLORES,ASOCIACION DE VIVIENDA VILLA BARRANQUILLO,PRESIDENTE,2001,2002
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,RADIO MUNICIPAL - PICOTA,COMUNICADOR SOCIAL,2012,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,COLEGIO ABRAHAM CARDENAS,DIGIENTE ESTUDIANTIL ,1972,1975
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,RADIO STAR,COMUNICADOR SOCIAL,2012,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,RADIO TROPICAL TARAPOTO,COMUNICADOR SOCIAL,1981,1994
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,RADIO TELERITMO - BELLAVISTA,COMUNICADOR SOCIAL,2001,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,SINDICATO DE EDUCACIÓN SUPERIOR TARAPOTO,SECRETARIO GENERAL,1994,1995
DEMOCRACIA DIRECTA,CONGRESISTA,ELEUTERIO,TORREJON PEZO,RADIO CADENA SUR - VILLA PICOTA,COMUNICADOR SOCIAL,2015,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,FANY ROSSEMERY,SARMIENTO POLO ,CLUB PROV. SAN MARCOS (LIMA),SECRETARIA ORGANIZACION,2014,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,FANY ROSSEMERY,SARMIENTO POLO ,AA.HH SAN MARTIN SECTOR 3 LOS OLIVOS,ASISTENTA SOCIAL,2015,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,FAUSTINO ELENO,GUEVARA VASQUEZ,CENTRAL UNICA REGIONAL DE RONDAS CAMPESINAS,PRESIDENTE,2009,Actualidad
DEMOCRACIA DIRECTA,CONGRESISTA,FEDERICO,IBAÑES MATICORENA,MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA,ENCARGADO DE IMAGEN INSTITUCIONAL,2007,2007
DEMOCRACIA DIRECTA,CONGRESISTA,FEDERICO,IBAÑES MATICORENA,MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA,AUXILIAR IMAGEN INSTITUCIONAL,2004,2004
