ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,EMPLEADOR,CARGO,ANIO_INICIO,ANIO_FIN
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,I.E.P. LA MERCED - PUNO,PROFESORA DE RELIGION,2004,2004
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,PROGRAMA DE APOYO AL REPOBLAMIENTO - PAR,SUPERVISOR,1996,1997
ACCION POPULAR,CONGRESISTA,MOISES,CAYO PACHAURI,MOISÉS CAYO PACHAURI,PROPIETARIO,1985,Actualidad
ACCION POPULAR,CONGRESISTA,MILAGROS DEL CARMEN,SUAREZ CARO DE GARATE,ESTUDIO CONTABLE CARUAJAL,ASISTENTE CONTABLE,2011,Actualidad
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"IEI N° 056"" DIVINO NIÑO JESUS""",DIRECTORA,1986,Actualidad
ACCION POPULAR,CONGRESISTA,TSETSEG ELSA,NUNCANQUIT QUIROZ,IE Nª 290- WAWAS,DOCENTE,2011,2015
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"I.E. N° 5044 "" BANDERA DE LA PAZ""  ",PROFESORA DE AULA ( DOCENTE DE PRIMARIA),1984,2013
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"MINISTERIO DE EDUCACIÓN ( D.R.E.C) I.E.N° 5035 "" SAN RAFAEL""",PROFESORA DE AULA ( DOCENTE DE PRIMARIA),2014,2015
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"I.E. N° 5053 "" VICTOR ANDRÉS BELAUNDE""",PROFESORA DE AULA ( DOCENTE DE PRIMARIA),1983,1984
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Gerencia Sub Regional de Padre Abad Aguaytia _ GOREU,Administrador,2005,2006
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Gerencia Sub Regional de Ucayali - Contamana - GOREL,DIRECTOR DE SISTEMA ADMINISTRATIVO II,2015,2016
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Municipalidad Distrital de INAHUAYA,Administrador,2007,2008
ACCION POPULAR,CONGRESISTA,ELENA VICTORIA,OLSSON NAVARRO,Direccion Regional de Educacion Ucayali,Profesora de INGLES,1997,2014
ACCION POPULAR,CONGRESISTA,ELENA VICTORIA,OLSSON NAVARRO,empresa nacional de puertos s.a.,secretaria II,1982,1991
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Municipalidad Provincial de Coronel Portillo,Gerente Municipal,2012,2014
ACCION POPULAR,CONGRESISTA,EDULFO DE JESUS,ARAUJO MEJIA,ARAUJO MEJIA EDULFO DE JESUS,titular,2010,2016
ACCION POPULAR,CONGRESISTA,AZAEL,CORDOVA CASTILLO,CONTRATISTAS Y NEGOCIACIONES MULTIPLES ZAGI E.I.R.L,GERENTE,2010,Actualidad
ACCION POPULAR,CONGRESISTA,MIDA RAQUEL,PONCE VALERA,PROYECTO OLMOS TINAJONES,JEFA DE MANTENIMIENTO,1980,1982
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,FUNDO SANTA ANA,PROPIETARIO,1978,Actualidad
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,CONGRESO DE LA REPUBLICA,CONGRESISTA,2001,2006
ACCION POPULAR,CONGRESISTA,MIDA RAQUEL,PONCE VALERA,PLAZA VEA,CONCESIONARIA DEL COMEDOR,2013,2014
ACCION POPULAR,CONGRESISTA,MIDA RAQUEL,PONCE VALERA,MPV DISTRIBUIDORES E.I.R.L,GERENTE,2008,2011
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,CONGRESO  DE LA REPUBLICA,CONGRESISTA,2011,Actualidad
ACCION POPULAR,CONGRESISTA,OSCAR ENRIQUE,ZAVALETA SANCHEZ,SOCIEDAD DE BENEFICENCIA PUBLICA DE CHIMBOTE,JEFE DE PERSONAL,2004,2004
ACCION POPULAR,CONGRESISTA,OSCAR ENRIQUE,ZAVALETA SANCHEZ,EMPRESA PESQUERA COLONIAL S.A.,JEFE DEL DEPARTAMENTO LEGAL,1999,2013
ACCION POPULAR,CONGRESISTA,OSCAR ENRIQUE,ZAVALETA SANCHEZ,ESTUDIO HONOR Y JUSTICIA,GERENTE GENERAL,1998,Actualidad
ACCION POPULAR,CONGRESISTA,OSCAR ENRIQUE,ZAVALETA SANCHEZ,EMPRESA DE TRANSPORTE MONCADA,JEFE DE COMERCIALIZACION,1986,1989
ACCION POPULAR,CONGRESISTA,OSCAR ENRIQUE,ZAVALETA SANCHEZ,EMPRESA DE TRANSPORTE CHANCAFE,JEFE DE COMERCIALIZACION,1989,1994
ACCION POPULAR,CONGRESISTA,MARIA ELENA,SALVATIERRA RAMOS,CORTE SUPERIOR DE JUSTICIA DE AYACUCHO,AUXILIAR JUDICIAL,2009,2009
ACCION POPULAR,CONGRESISTA,MARIA ELENA,SALVATIERRA RAMOS,ONPE - TARAPOTO,AUXILIAR ADMINISTRATIVO,2006,2006
ACCION POPULAR,CONGRESISTA,MARIA ELENA,SALVATIERRA RAMOS,ONPE - TARAPOTO,COORDINADORA DE MESA,2006,2006
ACCION POPULAR,CONGRESISTA,YULIANA MARGOT,SILVA RONCAL,CONSULTORIO OBSTETRICO,OBSTETRA,2012,2016
ACCION POPULAR,CONGRESISTA,MARIA ELENA,SALVATIERRA RAMOS,CORTE SUPERIOR DE JUSTICIA DE AYACUCHO,SECRETARIA DE MULTAS,2008,2009
ACCION POPULAR,CONGRESISTA,YULIANA MARGOT,SILVA RONCAL,CONSULTORIO GINECO OBSTETRICO,ASISTENTA DE CONSULTORIO,2004,2013
ACCION POPULAR,CONGRESISTA,MARIA ELENA,SALVATIERRA RAMOS,CONGRESO DE LA REPUBLICA DEL PERU,ASESOR II,2011,2015
ACCION POPULAR,CONGRESISTA,MARIA ELENA,SALVATIERRA RAMOS,ONPE - PIURA,COORDINADORA DE MESA,2005,2005
ACCION POPULAR,CONGRESISTA,LENIN ALEJANDRO,ESPINOZA VALERIO,ELEVAB S.A.C,ASESOR LEGAL,2010,Actualidad
ACCION POPULAR,CONGRESISTA,LENIN ALEJANDRO,ESPINOZA VALERIO,MUNICIPALIDAD DISTRITAL DE SAN JUAN,ASESOR LEGAL EXTERNO,2012,2012
ACCION POPULAR,CONGRESISTA,LENIN ALEJANDRO,ESPINOZA VALERIO,MUNICIPALIDAD DISTRITAL DE ALFONSO UGARTE,ASESOR LEGAL EXTERNO,2008,2008
ACCION POPULAR,CONGRESISTA,MARGARITA YSABEL,YSLA GUIDO,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,FUNCIONARIA,1973,1991
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,INDUSTRIAS MILITARES DEL PERÚ (INDUMIL PERÚ),ESPECIALISTA EN MARKETING,1985,1993
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,"UNIVERSIDAD NACIONAL DE EDUCACIÓN ""ENRIQUE GUZMÁN Y VALLE"" ",DOCENTE,1985,1988
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,GOBIERNO REGIONAL DE TACNA,GERENTE REGIONAL DE DESARROLLO E INCLUSION SOCIAL ,2015,2015
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,MUNICIPALIDAD DISTRITAL DE POCOLLAY,JEFE DE PROYECTOS,2009,2009
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,MUNICIPALIDAD DISTRITAL DE POCOLLAY,GERENTE DE ASESORÍA JURIDICA,2007,2007
ACCION POPULAR,CONGRESISTA,ROSINA CARMEN,CUTIMBO VARGAS,UNIVERSIDAD NACIONAL  JORGE BASADRE GROHMANN,DOCENTE,2001,2009
ACCION POPULAR,CONGRESISTA,ROSINA CARMEN,CUTIMBO VARGAS,UNIVERSIDAD ALAS PERUANAS,DOCENTE,2006,2011
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,MUNICIPALIDAD DISTRITAL CORONEL GREGORIO ALBARRACIN LANCHIPA,FISCALIZACIÓN TRIBUTARIA Y MUNICIPAL ,2012,2012
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,MUNICIPALIDAD DISTRITAL DE POCOLLAY,"SUB GERENTE DE DESARROLLO SOCIAL, ECONÓMICO Y PARTICIPACIÓN VECINAL ",2010,2010
ACCION POPULAR,CONGRESISTA,ROSINA CARMEN,CUTIMBO VARGAS,UNIVERSIDAD PRIVADA DE TACNA,DOCENTE,2005,2006
ACCION POPULAR,CONGRESISTA,ROSINA CARMEN,CUTIMBO VARGAS,GOBIERNO REGIONAL DE TACNA,ESPECIALISTA / JEFE DE PROYECTO,2011,2014
ACCION POPULAR,CONGRESISTA,VICTOR MARIANO,MARIN NEYRA,I. E. JORGE BASADRE GROHMANN - MINISTERIO DE EDUCACION,PROFESOR,1983,Actualidad
ACCION POPULAR,CONGRESISTA,ELIO ROLANDO,SESEN MARIANO,MUNICIPALIDAD DISTRITAL RIO SANTIAGO,SECRETARIA GENERAL,2013,2013
ACCION POPULAR,CONGRESISTA,ELIO ROLANDO,SESEN MARIANO,MUNICIPALIDAD PROVINCIAL DE CONDORCANQUI,ABOGADO-JEFE DE DEMUNA,2015,2015
ACCION POPULAR,CONGRESISTA,ELIO ROLANDO,SESEN MARIANO,"ESTUDIO JURIDICO ""NUÑEZ""",ASISTENTE AREA PENAL,2012,2012
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,ESTUDIO JURIDICO GUSTAVO GILIO ALVA,ASISTENTE LEGAL,2014,Actualidad
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,NOTARIA PUBLICA RAMON ESPINOZA GARRETA,ASISTENTE - CARGO DE CONFIANZA,2007,2008
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,ESTUDIO JURIDICO ALEXANDER JANAMPA GRADOS,ASISTENTE LEGAL,2009,2011
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,NOTARIA PUBLICA JAVIER ASPAUZA GAMARRA,ASISTENTE - CARGO DE CONFIANZA,2004,2006
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,T - VOLUTION (AGENCIA AUTORIZADA DE DIRECTV),ASESOR COMISIONISTA,2012,2013
ACCION POPULAR,CONGRESISTA,YOLANDA,MORI RAMIREZ,"I.E. Nº 0393 ""VIRGEN DE LAS MERCEDES""",DIRECTORA,1996,2011
ACCION POPULAR,CONGRESISTA,JUAN JOSE,ROCHA LOPEZ,J.J. ROCHA METAL MECANICA E.I.R.L.,ASISTENTE DE GERENCIA,2015,Actualidad
ACCION POPULAR,CONGRESISTA,JUAN JOSE,ROCHA LOPEZ,MUNICIPALIDAD PROVINCIAL DE SAN MARTIN,SUB COORDINADOR PROGRAMA DE SEGREGACION EN LA FUENTE Y RECOLECCION SELECTIVA DE R. S.,2012,2012
ACCION POPULAR,CONGRESISTA,FERNANDO,GARCIA LOPEZ,ALOJAMIENTO EL ZORRITO,PROPIETARIO,2005,Actualidad
ACCION POPULAR,CONGRESISTA,FERNANDO,GARCIA LOPEZ,NOR SELVA TELECOMUNICACIONES E.I.R.L.,GERENTE,2009,2014
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,UNIVERSIDAD NACIONAL DEL ALTIPLANO - PUNO,DOCENTE TIEMPO PARCIAL ,2001,2002
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,Seguro Social de Salud - ESSALUD,Nutricionista,2000,Actualidad
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,FONCODES,ASISTENTE EN PROGRAMA DE DESAYUNOS ESCOLARES,1997,1998
ACCION POPULAR,CONGRESISTA,MARTHA CLARET,ROMANI CRUZ,I.E.S INDUSTRIAL 32 - PUNO,AUXILIAR DE EDUCACION,1986,2015
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,MINSA - PUNO,ASISTENTE DE PROGRAMA PACFO,1995,1996
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,DIRECCION REGIONAL DE TURISMO DE CUSCO,DIRECTOR REGIOANL,2014,2014
ACCION POPULAR,CONGRESISTA,KELLY AMANDA,SOTO ENRIQUEZ,CLAS ESPINAR -PICHIGUA,JEFE DE ESTABLECIMIENTO,2014,2015
ACCION POPULAR,CONGRESISTA,KELLY AMANDA,SOTO ENRIQUEZ,ESSALUD,MEDICO CIRUJANO,2014,2016
ACCION POPULAR,CONGRESISTA,KELLY AMANDA,SOTO ENRIQUEZ,ESSALUD,MEDICO CIRUJANO,2016,2016
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,UNIVERSIDAD NACIONAL SAN MARCOS ,PROFESORA,2011,2015
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,CONGRESO DE LA REPUBLICA,ASESORA,2013,2016
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,ARQUITECTO ,ARQUITECTO,1988,Actualidad
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,CONGRESO DE LA REPUBLICA,ASESOR,2011,2011
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,MTC PROYECTO DE INFRAESTRUCTURA TRANSPORTE NACIONAL,CONSULTOR,2004,2004
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,BRINGAS VARGAS,UNIVERSIDAD  NACIONAL DE CAJAMARCA,ASESOR LEGAL,2005,2006
ACCION POPULAR,CONGRESISTA,GIOVANNA ELIZABETH,CASTRO VILLANUEVA,MUNICIPALIDAD PROVINCIAL DE CAJAMARCA,SECRETARIA SUB GERENCIA DE FISCALIZACION Y COMERCIALIZACION,2012,Actualidad
ACCION POPULAR,CONGRESISTA,VICTOR,LEON LEON,MIRCASEC,CONTABILIDAD,2011,2015
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,MUNICIOPALIDAD DE JAEN,ASISTENTE CONTABLE,2003,2006
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,UNIVERSIDAD ALAS PERUANAS,PROFESORA,2009,2009
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,MUNICIPALIDAD PROVINCIAL DE JAEN,ADMINISTRADORA MERCADO 28 DE JULIO,2013,2014
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,UNIVERSIDAD ALAS PERUANAS,PROFESORA,2012,2014
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,MUNICIPALIDAD PROVINCIAL DE JAEN,LIQUIDADOR FINANCIERO,2006,2016
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,ESTUDIO CONTABLE RAMOS& ASOCIADOS,CONTADOR PUBLICO,2005,2016
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,DIRECCION SUBREGIONAL I  JAEN RENOM,ASISTENTE ADMINISTRATIVO,1991,1994
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,MUNICIPALIDAD DISTRITAL DE SAN JOSE DE LOURDES,ASESOR,2015,2015
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,MUNICIPALIDAD DISTRITAL DE TABACONAS,ALCALDE DISTRITAL,2010,2014
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,PROYECTO ESPECIAL JAEN SAN IGNACIO BAGUA,ING. RESIDENTE,2009,2009
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,SOCIEDAD DE BENEFICIENCIA PUBLICA DE CUSCO,PRESIDENTE DE DIRECTORIO,2015,2015
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,MUNICIPALIDAD DISTRITAL DE SANTIAGO,ABOGADO ADJUNTO DE PROCURADORIA PIBLICA,2007,2010
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,UNIDAD EJECUTORA RED DE SALUD AYACUCHO NORTE,JEFE RECURSOS HUMANOS,2012,2012
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,COFOPRI,CONSULTOR LEGAL PRINCIPAL,2007,2010
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,"PROYECTO ESPECIAL ""RIO CACHI""",ASISTENTE JURIDICO,2006,2007
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,"PROYECTO ESPECIAL ""RIO CACHI""",TECNICO EN ASESORIA LEGAL,2005,2005
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,MINISTERIO DE AGRICULTURA,DIRECTOR REGIONAL,2001,2002
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,BRINGAS VARGAS,ESTUDIO DE ABOGADO,ABOGADO,1999,Actualidad
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,INSTITUTO NACIONAL DE DEFENSA CIVIL-INDECI,DIRECTOR REGIONAL,2007,2007
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,BRINGAS VARGAS,EMPRESA  SEDACAJ,ASESOR JURIDICO,1998,1998
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,BRINGAS VARGAS,CONSEJO TRANSITORIO DE ADMINISTRACION REGIONAL,GERENTE REGIONAL ASESOR JURIDICO,2001,2002
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,PROYECTO ESPECIAL DE TITULACIÓN DE TIERRAS Y CATASTRO RURAL-PETT,JEFE REGIONAL,2001,2002
ACCION POPULAR,CONGRESISTA,PEDRO ADOLFO,FERNANDEZ PAREDES,UNIVERSIDAD ALAS PERUANAS,DOCENTE FAC. DE DERECHO Y CC.PP,2006,2015
ACCION POPULAR,CONGRESISTA,MARIA ELENA,GUILLEN NUÑEZ,HOSPITAL NACIONAL CARLOS ALBERTO SEGUIN ESCOBEDO ESSALUD,QUIMICO FARMACEUTICO,1998,Actualidad
ACCION POPULAR,CONGRESISTA,PEDRO ADOLFO,FERNANDEZ PAREDES,UNIVERSIDAD AUTONOMA SAN FRANCISCO,DOCENTE - DERECHO,2013,2015
ACCION POPULAR,CONGRESISTA,MARIA ELENA,GUILLEN NUÑEZ,UNIVERSIDAD CATOLICA DE SANTA MARI,DOCENTE AUXILIAR,2006,Actualidad
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,ZONA REGISTRAL Nº XII - SEDE AREQUIPA,OPERADOR-A,1996,Actualidad
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,NEGOCIO PROPIO,AGRICULTORA,2002,Actualidad
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,MUNICIPALIDAD DISTRITAL DE MEJIA,ASESOR EXTERNO,2016,Actualidad
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,ROSA MARIA ROMAN VALDIVIA,ADMINISTRADOR,2015,Actualidad
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,MUNICIPALIDAD DISTRITAL DE MEJIA,ASESOR EXTERNO,2015,2015
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,DOE RUN PERU SRL,JEFE GENERAL DE MANTENIMIENTO,1984,2016
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,UGEL 02 - LIMA,DIRECTOR,2013,2014
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,MINISTERIO DE EDUCACION,DITRECTOR TECNICO EJECUTIVO DEL PRONAMA,2011,2012
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,CEBA Nº 6043 PEDRO VENTURO,SUBDIRECTOR,2002,Actualidad
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,UNIVERSIDAD ALAS PERUANAS,DIRECTOR DE LA ESCUELA PROFESIONAL DE EDUCACION,2010,2011
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,UGEL 03 - LIMA,DIRECTOR,2014,2014
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,MINISTERIO DE EDUCACION,DIRECTOR DE LA DIRECCION DE ALFABETIZACION,2012,2014
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,MUNICIPALIDAD PROVINCIAL DE ABANCAY,GERENTE DE MEDIO AMBIENTE Y SERVICIOS PUBLICOS,2012,2013
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,MINISTERIO DE VIVIENDA CONSTRUCCION Y SANEAMIENTO,ESPECIALISTA AMBIENTAL,2014,2016
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,MINISTERIO DEL AMBIENTE  - PNUD,ESPECIALISTA EN AGROECOLOGIA,2010,2012
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,GOBIERNO REGIONAL APURIMAC,COORDINADORA DE SUPERVISIÒN DE OBRAS DE RIEGO,2014,2014
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,UNIVERSIDAD TECNOLÒGICA DE LOS ANDES,DOCENTE,2013,2014
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,GOBIERNO REGIONAL DEL CALLAO,ESPECIALISTA EN DEFENSA CIVIL,2003,2016
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,SILGRAF,PROPIETARIO,1994,2003
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,Estudio Jurídico Canessa Y Nuñez del Prado,Legal,2013,2013
ACCION POPULAR,CONGRESISTA,MARIA ROSARIO,CASTILLO CARRION,OMNILIFE,REPRESENTANTE COMERCIAL,2016,Actualidad
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,Gas Equipment,Administrador,2008,Actualidad
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,Constructora Hanaro,Asistente de Gerencia,2010,2010
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,"Estudio Jurídico Daly, Otero, Florez y Nuñez del Prado",Legal,2014,2014
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,MAYÓLICA NACIONAL S.A.,SECRETARIA ( ASESORÍA LEGAL),1981,1983
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"LABORATORIOS ""EFESA"" SA.",OPERARIA DE CAMBIO DE PRECIOS,1977,1977
ACCION POPULAR,CONGRESISTA,JOSE ROSELL,RUBIO MONTEZA,"Colegio Particular ""San Agustín""",Docente,2013,Actualidad
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Banco de la Nación,Empleado,2009,Actualidad
ACCION POPULAR,CONGRESISTA,JOSE ROSELL,RUBIO MONTEZA,Universidad Alas Peruanas,Docente,2009,2010
ACCION POPULAR,CONGRESISTA,JOSE ROSELL,RUBIO MONTEZA,Universidad Nacional José María Arguedas,Docente,2008,2010
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Banco Central Hipotecaria,Empleado,1981,1993
ACCION POPULAR,CONGRESISTA,VALERIANA ELIZABETH,YEPEZ YOVED,NEUROFTALMOLOGIA,ENFERMERA NIVEL 4 ,1984,1989
ACCION POPULAR,CONGRESISTA,JHOSSELYN JHEYDI,QUIROZ PALACIOS,MINISTERIO DE TRANSPORTE Y COMUNICACIONES ,ASISTENTE LEGAL,2013,2015
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,Ministerio de Cultura - Proyecto Capaq Ñan ,Arquitecto de Proyectos de Inversión ,2013,2013
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,CIARGAS SAC,Representante Norte ,2015,2016
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,Imago Arq SAC,Gerente General,2009,2015
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,SUNAT ,Asesora Infraestructura ,2012,2015
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,360° Mestizo SAC,Gerente de Proyectos ,2014,2016
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,Mis Manos Montessori,Promotora Propietaria ,2012,2016
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Municipalidad Distrital de Rázuri ,Asesora Legal Externa ,2011,2016
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Municipalidad Distrital de Huanchaco ,Asesora Legal Externa ,2015,2016
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Universidad César Vallejo SAC,Doc.Fac. Derecho - Tiempo Parcial ,2003,2015
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Municipalidad Distrital de Marmot ,Asesora Legal Externa ,2015,2015
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,Municipalidad Provincial Gran Chimú ,Asesora Legal Externa ,2014,2016
ACCION POPULAR,CONGRESISTA,NORMA JUDITH,TORRES LOZANO,Estudio Jurídico ,Abogada ,2015,2016
ACCION POPULAR,CONGRESISTA,CESAR GILMER,MENDOZA MENDOZA,I.E. Inmaculada Concepción- Distrito de Pataz ,Docente ,2015,2015
ACCION POPULAR,CONGRESISTA,CESAR GILMER,MENDOZA MENDOZA,Municipalidad Distrital de Pataz ,Alcalde ,2011,2014
ACCION POPULAR,CONGRESISTA,JULIO SALVADOR,CORREA CHAVEZ,Estudio Contable Correa Albitres Hnos. ,Contador General ,2005,2016
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,CENTRO DE SALUD LA LIBERTAD,MEDICO CIRUJANO,2011,2016
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,CENTRO DE SALUD EL TAMBO,MEDICO CIRUJANO,1994,2011
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,HOSPITAL DE ACOBAMBA,QUIM. FARM. DE FARMACIA CENTRAL,2010,2011
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,HOSPITAL E.G.G.G.,COOR. DOSIS UNITARIA - SISMED,2014,2015
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,MUNICIPALIDAD DISTRITAL DE SAN MARCOS,SUPERVISORA DE PROYECTOS DE SALUD,2009,2009
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,OGD DE LA CUENCA DEL RIO LURIN,GERENTE,2007,2008
