ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL
DEMOCRACIA DIRECTA,CONGRESISTA,ROBERTO,INCHAUSTEGUI GONZALES ,PARTIDO RECONSTRUCCIÓN DEMOCRATICA,2005,2007
DEMOCRACIA DIRECTA,CONGRESISTA,ROBERTO,INCHAUSTEGUI GONZALES ,TODOS POR EL PERU,2005,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ROBINSON,REQUEJO VILLALOBOS,ALIANZA PARA PROGRESO,2014,2015
DEMOCRACIA DIRECTA,CONGRESISTA,ROBINSON,REQUEJO VILLALOBOS,ACCION POPULAR,2009,2014
DEMOCRACIA DIRECTA,CONGRESISTA,ROSA ALICIA,MENDOZA CRESPO,ALIANZA PARA EL PROGRESO,2009,2013
DEMOCRACIA DIRECTA,CONGRESISTA,SEVERIANO HIGOR,RODRIGUEZ TORRES ,PARTIDO POPULAR CRISTIANO (PPC),2001,2014
DEMOCRACIA DIRECTA,CONGRESISTA,SILVIA CAROLINA,NOLE GARCIA,PERÚ POSIBLE,2012,2014
DEMOCRACIA DIRECTA,CONGRESISTA,SILVIA CAROLINA,NOLE GARCIA,AGRUPAMIENTO POLÍTICO INDEPENDIENTE AMIGOS DE SULLANA,2010,2010
DEMOCRACIA DIRECTA,CONGRESISTA,SILVIA YESENIA,CONTRERAS LAZO,FRENTE AMPLIO,2016,2016
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ADOLFO LAURIANO,HORMAZA DEL CASTILLO,ACCION POPULAR,2004,2006
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ADOLFO LAURIANO,HORMAZA DEL CASTILLO,ESFUERZO UNIDOS,2006,2006
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ALEX MANUEL,GALLARDO ZETA,PARTIDO NACIONALISTA,2014,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,ANDINA,MARIACA PEÑA ,PARTIDO NACIONALISTA PERUANO,2010,2010
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,CARLOS EMILIO,VIZCARRA VELAZCO,PARTIDO NACIONALISTA PERUANO,2006,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,DEISSY SUSANA,DIAZ GAMONAL,CAMBIO RADICAL,2010,2012
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,DEISSY SUSANA,DIAZ GAMONAL,MOV REGIONAL AREQUIPA CUENTA CONMIGO,2014,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,DEISSY SUSANA,DIAZ GAMONAL,FRENTE AMPLIO,2013,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,DITMAR VICTOR,PEREZ SILVESTRE,PARTIDO NACIONALISTA PERUANO,2014,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,EDGAR AMERICO,OCHOA PEZO ,MOV. REGIONAL KAUSACHUN,2013,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,FAUSTA CERVILIA,CHAVEZ ALAYO ,OP. ACCION POPULAR,2005,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,GRETELL ESPERANZA,REBAZA ARAUJO ,PARTIDO HUMANISTA PERUANO,2008,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,HUMBERTO,PRADO EFFIO ,PARTIDO NACIONALISTA PERUANO,2010,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,IDER LUIS,GUTIERREZ QUISPE,RENUNCIA UPP,2005,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,INDIRA ISABEL,HUILCA FLORES ,EL FRENTE AMPLIO POR JUSTICIA VIDA Y LIBERTAD,2011,2011
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,JESUS AUREA,BERNUY NEIRA,PARTIDO APRISTA PERUANO,2004,2013
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,JHON KENNEDY,VEGA CARRASCAL,PARTIDO NACIONALISTA PERUANO,2009,2012
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,JORGE ALFONSO,APARCANA ALFARO ,UNION POR EL PERU,1994,1999
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,JOSE,OLIVOS VINCES ,PARTIDO NACIONALISTA,2009,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,JOSE MIGUEL,OROS PONCE,P. NACIONALISTA PERUANO,2006,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,JUAN CESAR,REGALADO CABRERA ,MOVIMIENTO REGIONAL FUERZA SOCIAL,2008,2009
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MANUEL ENRIQUE ERNESTO,DAMMERT EGO AGUIRRE ,PARTIDO MOVIMIENTO HUMANISTA PERUANO,2005,2007
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MANUEL ENRIQUE ERNESTO,DAMMERT EGO AGUIRRE ,PARTIDO NACIONALISTA PERUANO,2012,2013
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MANUEL ENRIQUE ERNESTO,DAMMERT EGO AGUIRRE ,PARTIDO SOCIALISTA,2005,2007
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MANUEL GERMAN,BENZA PFLÜCKER ,FUERZA SOCIAL,2009,2010
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MARIA ANTONIETA,AGÜERO GUTIERREZ,PARTIDO NACIONALISTA PERUANO,2010,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MARIA ELENA,FORONDA FARRO ,PARTIDO NACIONALISTA,2012,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MARIO JOSE,CANZIO ALVAREZ,PARTIDO NACIONALISTA PERUANA,2005,2006
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MARTIN ARNALDO,MORALES TORRES ,IZQUIERDA UNIDA,1986,1989
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,MARTIN ARNALDO,MORALES TORRES ,PERU POSIBLE,2009,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,PEDRO FERNANDO,TINCOPA CALLE,PERU POSIBLE,2010,2010
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,PEDRO FERNANDO,TINCOPA CALLE,ACCION POPULAR,2006,2007
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,RICHARD,ARCE CACERES,UNION POR EL PERU,2014,2015
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,TEOFILO,VALLEJOS RAMOS,ALIANZA PARA EL PROGRESO,2007,2011
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",CONGRESISTA,TEOFILO,VALLEJOS RAMOS,TODOS POR PASCO,2011,2014
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",PRESIDENTE DE LA REPUBLICA,VERONIKA FANNY,MENDOZA FRISCH,Partido Nacionalista,2009,2012
FRENTE ESPERANZA,CONGRESISTA,ANDRES SABINO,CARDENAS JESUS,PARTIDO NACIONALISTA PERUANO,2014,2015
FRENTE ESPERANZA,CONGRESISTA,ANDRES SABINO,CARDENAS JESUS,PERU POSIBLE,2000,2007
FRENTE ESPERANZA,CONGRESISTA,CARLOS ALBERTO,CHAVEZ LIENDO ,PARTIDO POPULAR CRISTIANO,2000,2005
FRENTE ESPERANZA,CONGRESISTA,CARLOS RICARDO,CUARESMA SANCHEZ,Alianza para el Progreso,2014,2015
FRENTE ESPERANZA,CONGRESISTA,CARLOS RICARDO,CUARESMA SANCHEZ,Somos Peru,2013,2013
FRENTE ESPERANZA,CONGRESISTA,CARLOS RICARDO,CUARESMA SANCHEZ,Peru Posible,2010,2012
FRENTE ESPERANZA,CONGRESISTA,CARLOS RICARDO,CUARESMA SANCHEZ,Frente Independiente Moralizador,2005,2008
FRENTE ESPERANZA,CONGRESISTA,EDUARDO ANTONIO,CHAUCA MEJIA,RECONSTRUCCION DEMOCRATICA,2005,2006
FRENTE ESPERANZA,CONGRESISTA,EFRIN MARCOS,QUISPE HUAYNACHO ,PARTIDO NACIONALISTA,2006,2014
FRENTE ESPERANZA,CONGRESISTA,GREGORIO,DURAND AGUILAR ,Partido Nacionalista Peruano,2014,2015
FRENTE ESPERANZA,CONGRESISTA,GREGORIO,DURAND AGUILAR ,Frente Amplio Peruano,2010,2011
FRENTE ESPERANZA,CONGRESISTA,GREGORIO,DURAND AGUILAR ,Partido Popular Cristiano,2005,2010
FRENTE ESPERANZA,CONGRESISTA,GUSTAVO GUZMAN,ROMERO IZAGUIRRE ,Partido Nacionalista,2005,2015
FRENTE ESPERANZA,CONGRESISTA,ISAAC ERNESTO,GARRIDO JAEGER ,PARTIDO FONAVISTA,2014,2014
FRENTE ESPERANZA,CONGRESISTA,JORGE LUIS,MICALAY LOZANO,ALIANZA PARA EL PROGRESO,2010,2010
FRENTE ESPERANZA,CONGRESISTA,JOSE CARLOS,CHENG PALOMINO,PERU POSIBLE,2000,2005
FRENTE ESPERANZA,CONGRESISTA,JOSE CARLOS,CHENG PALOMINO,PARTIDO NACIONALISTA,2005,2014
FRENTE ESPERANZA,CONGRESISTA,JUANA NATIVIDAD,AVELLANEDA SOTO,Partido Reconstrucción Democrática,2005,2007
FRENTE ESPERANZA,CONGRESISTA,LLENI,REATEGUI NAVARRO,FUERZA COMUNAL,2002,2006
FRENTE ESPERANZA,CONGRESISTA,ROY MELVIN,BEJARANO RODRIGUEZ,PARTIDO APRISTA PERUANO,2010,2010
FRENTE ESPERANZA,CONGRESISTA,YESSICCA YOKO,SUEYOSHI SALCEDO,PARTIDO POPULAR CRISTIANO,2000,2011
FRENTE ESPERANZA,PRESIDENTE DE LA REPUBLICA,LUIS FERNANDO,OLIVERA VEGA,Partido Popular Cristiano,1977,1986
FRENTE ESPERANZA,PRIMER VICEPRESIDENTE DE LA REPUBLICA,CARLOS RICARDO,CUARESMA SANCHEZ,Frente Independiente Moralizador,2005,2008
FRENTE ESPERANZA,PRIMER VICEPRESIDENTE DE LA REPUBLICA,CARLOS RICARDO,CUARESMA SANCHEZ,Peru Posible,2010,2012
FRENTE ESPERANZA,PRIMER VICEPRESIDENTE DE LA REPUBLICA,CARLOS RICARDO,CUARESMA SANCHEZ,Somos Peru,2013,2013
FRENTE ESPERANZA,PRIMER VICEPRESIDENTE DE LA REPUBLICA,CARLOS RICARDO,CUARESMA SANCHEZ,Alianza para el Progreso,2014,2015
FRENTE ESPERANZA,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,JUANA NATIVIDAD,AVELLANEDA SOTO,Partido Reconstrucción Democrática,2005,2007
FUERZA POPULAR,CONGRESISTA,AIDE,CERVANTES LUCANA ,PARTIDO NACIONALISTA PERUANO,2012,2015
FUERZA POPULAR,CONGRESISTA,ALEJANDRINA,CARRANZA NORIEGA,PERU PATRIA SEGURA,2015,2015
FUERZA POPULAR,CONGRESISTA,ALEJANDRINA,CARRANZA NORIEGA,ALIANZA PARA EL PROGRESO,2006,2007
FUERZA POPULAR,CONGRESISTA,ANGEL,NEYRA OLAYCHEA ,PARTIDO JUSTICIA NACIONAL,2006,2007
FUERZA POPULAR,CONGRESISTA,ANTONIO,MEDINA ORTIZ ,MOVIMIENTO POPULAR KALLPA,2006,2012
FUERZA POPULAR,CONGRESISTA,BIENVENIDO,RAMIREZ TANDAZO,MOVIMIENTO INDEPENDIENTE REGIONAL RENOVACIÓN TUMBES,2014,2015
FUERZA POPULAR,CONGRESISTA,CARLOS ALBERTO,DOMINGUEZ HERRERA,PARTIDO APRISTA PERUANO,2009,2010
FUERZA POPULAR,CONGRESISTA,CARLOS MARIO DEL CARMEN,TUBINO ARIAS SCHREIBER ,JUSTICIA NACIONAL,2006,2006
FUERZA POPULAR,CONGRESISTA,DANIEL ENRIQUE,SALAVERRY VILLA ,PARTIDO APRISTA PERUANO,2002,2014
FUERZA POPULAR,CONGRESISTA,ESTELITA SONIA,BUSTOS ESPINOZA ,MOVIMIENTO REGIONAL POR TI CALLAO,2014,2015
FUERZA POPULAR,CONGRESISTA,ESTHER,SAAVEDRA VELA ,PARTIDO NACIONALISTA PERUANO,2009,2015
FUERZA POPULAR,CONGRESISTA,EVITA MARIA,OJEDA CELI ,Peru Posible,2001,2001
FUERZA POPULAR,CONGRESISTA,FEDERICO,PARIONA GALINDO ,CONVERGENCIA REGIONAL DESCENTRALISTA CONREDES,2006,2010
FUERZA POPULAR,CONGRESISTA,FRANCISCO JAVIER,VILLAVICENCIO CARDENAS,PERU POSIBLE ,2007,2015
FUERZA POPULAR,CONGRESISTA,GABINO HUGO,ROSAS LOPEZ ,PERÚ POSIBLE (INVITADO),2002,2002
FUERZA POPULAR,CONGRESISTA,GLIDER AGUSTIN,USHÑAHUA HUASANGA ,accion popular,2005,2015
FUERZA POPULAR,CONGRESISTA,JOSE LUIS,ESPICHAN PEREZ,SOLIDARIDAD NACIONAL,2014,2015
FUERZA POPULAR,CONGRESISTA,JUAN CARLOS,DEL AGUILA CARDENAS ,LORETO PARA TODOS,2014,2014
FUERZA POPULAR,CONGRESISTA,JUAN CARLOS EUGENIO,GONZALES ARDILES,RESTAURACIÓN NACIONAL ,2007,2010
FUERZA POPULAR,CONGRESISTA,JUAN MANUEL,ALARCON ATO ,AGRUPACION INDEPENDIENTE SI CUMPLE,2004,2012
FUERZA POPULAR,CONGRESISTA,KARINA JULIZA,BETETA RUBIN,UNIÓN POR EL PERÚ,2010,2010
FUERZA POPULAR,CONGRESISTA,KARLA MELISSA,SCHAEFER CUCULIZA ,Alianza por el Futuro,2006,2010
FUERZA POPULAR,CONGRESISTA,LOURDES CAROLINA,CARMELO ANCAYA ,SOMOS PERU,2010,2013
FUERZA POPULAR,CONGRESISTA,LUCIANO NELSON,MARTINEZ TALAVERA ,Partido Popular Cristiano,2010,2015
FUERZA POPULAR,CONGRESISTA,LUIS FERNANDO,GALARRETA VELARDE,PARTIDO POPULAR CRISTIANO,2010,2015
FUERZA POPULAR,CONGRESISTA,LUIS FERNANDO,GALARRETA VELARDE,RENOVACION NACIONAL,2005,2009
FUERZA POPULAR,CONGRESISTA,LUZ FILOMENA,SALGADO RUBIANES ,CAMBIO 90,1991,2010
FUERZA POPULAR,CONGRESISTA,MAGDALENA DEL ROSARIO,QUEPUY IZARRA,PARTIDO APRISTA PERUANO,2008,2009
FUERZA POPULAR,CONGRESISTA,MARIA ALEJANDRA,ARAMAYO GAONA ,PARTIDO POPULAR CRISTIANO,2014,2015
FUERZA POPULAR,CONGRESISTA,MARIA ALEJANDRA,ARAMAYO GAONA ,PARTIDO POPULAR CRISTIANO,2014,2015
FUERZA POPULAR,CONGRESISTA,MARIA ASUNCION,TAVARA POLO DE NEYRA,TRANSFORMEMOS SULLANA,2006,2007
FUERZA POPULAR,CONGRESISTA,MARIA ASUNCION,TAVARA POLO DE NEYRA,INNOVACION Y DESARROLLO REGIONAL,2013,2015
FUERZA POPULAR,CONGRESISTA,MARIA CANDELARIA,RAMOS ROSALES ,Partido Aprista Peruano,2009,2010
FUERZA POPULAR,CONGRESISTA,MARIA CRISTINA,MELGAREJO PAUCAR ,MOVIMIENTO REGIONAL CUENTA CONMIGO,2006,2015
FUERZA POPULAR,CONGRESISTA,MARIA LOURDES PIA LUISA,ALCORTA SUERO,PARTIDO POPULAR CRISTIANO ,2003,2013
FUERZA POPULAR,CONGRESISTA,MARICELA MARCELINA,NOLASCO VASQUEZ ,PARTIDO APRISTA PERUANO,2010,2013
FUERZA POPULAR,CONGRESISTA,MARJORIE,LOVERA SALAS DE PERALTA ,Vamos Perú,2014,2015
FUERZA POPULAR,CONGRESISTA,NELLY LADY,CUADROS CANDIA ,ACCIÓN POPULAR,2009,2014
FUERZA POPULAR,CONGRESISTA,NELLY LADY,CUADROS CANDIA ,ACCIÓN POPULAR,2015,2015
FUERZA POPULAR,CONGRESISTA,OSWALDO,LUIZAR OBREGON ,UPP,2001,2008
FUERZA POPULAR,CONGRESISTA,PATRICIA ELIZABETH,DONAYRE PASQUEL ,Accion Popular,2006,2010
FUERZA POPULAR,CONGRESISTA,PERCY ELOY,ALCALA MATEO,ACCIÓN POPULAR,1980,1998
FUERZA POPULAR,CONGRESISTA,RAMIRO,GUZMAN IBAÑEZ ,Movimiento Regional Ayni,2004,2013
FUERZA POPULAR,CONGRESISTA,RAMIRO,GUZMAN IBAÑEZ ,Movimiento Regional Ayllu,2013,2014
FUERZA POPULAR,CONGRESISTA,RENE GUILLERMO SIMON,MANRIQUE CUSIRRAMOS ,Partido Aprista Peruano,2008,2011
FUERZA POPULAR,CONGRESISTA,RUTH ESTHER,JAULIS QUICAÑA,Movimiento Regional Musoq Ñan,2009,2015
FUERZA POPULAR,CONGRESISTA,SEGUNDO LEOCADIO,TAPIA BERNAL ,JUSTICIA NACIONAL,2005,2006
FUERZA POPULAR,CONGRESISTA,SEGUNDO LEOCADIO,TAPIA BERNAL ,PERÚ POSIBLE,2005,2005
FUERZA POPULAR,CONGRESISTA,SONIA ROSARIO,ECHEVARRIA HUAMAN ,PARTIDO POPULAR CRISTIANO,2007,2014
FUERZA POPULAR,CONGRESISTA,VICTOR AUGUSTO,ALBRECHT RODRIGUEZ ,CHIM PUM CALLAO,1998,2014
FUERZA POPULAR,CONGRESISTA,WALTER JUAN,VASQUEZ CRUZ ,AGRUPACION INDEPENDIENTE SI CUMPLE,2005,2010
FUERZA POPULAR,CONGRESISTA,WUILIAN ALFONSO,MONTEROLA ABREGU ,"MOVIMIENTO INDEPENDIENTE REGIONAL  ""UNIDOS POR HUANCAVELICA"" ",2009,2010
FUERZA POPULAR,CONGRESISTA,WUILIAN ALFONSO,MONTEROLA ABREGU ,PERU POSIBLE,2011,2013
FUERZA POPULAR,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,VLADIMIRO,HUAROC PORTOCARRERO,Partido Descentralista Fuerza Social,2009,2011
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ANA MARIA,BUENO ABANTO,Perú Posible,2005,2011
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDUARD JOHN,NAVARRO CALDERON,Somos Peru,2002,2014
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDWIN ALFONSO,ESPINOZA CHAVEZ,SOMOS PERÚ,2007,2008
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDWIN ALFONSO,ESPINOZA CHAVEZ,DEMOCRACIA CON VALORES,2006,2010
PARTIDO HUMANISTA PERUANO,CONGRESISTA,EDWIN ALFONSO,ESPINOZA CHAVEZ,ALIANZA POR EL GRAN CAMBIO,2011,2011
PARTIDO HUMANISTA PERUANO,CONGRESISTA,FERNANDO,GOMEZ SAAVEDRA,UNIÓN POR EL PERU,2011,2015
PARTIDO HUMANISTA PERUANO,CONGRESISTA,GUILLERMO,CHAVEZ TIMOTEO,"Partido Politico ""Somos Peru""",2004,2011
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JAIME FELIX,ESCUDERO MENDOZA,PERU POSIBLE,1995,1995
PARTIDO HUMANISTA PERUANO,CONGRESISTA,JAVIER FERNANDO,ARCE ALVARADO,Partido Nacionalista Perunao,2006,2011
PARTIDO HUMANISTA PERUANO,CONGRESISTA,KLEBERTH MARIO,CAMPOS JURADO,PERÚ POSIBLE,2005,2013
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONOR,SAIRE MARCAVILLACA VDA DE ROJAS,PARTIDO NACIONALISTA PERUANO,2009,2010
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONOR,SAIRE MARCAVILLACA VDA DE ROJAS,PARTIDO DEMOCRÁTICO SOMOS PERU,2008,2009
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONOR,SAIRE MARCAVILLACA VDA DE ROJAS,FUERZA POPULAR DE TRANSPARENCIA,2006,2006
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LEONOR,SAIRE MARCAVILLACA VDA DE ROJAS,PARTIDO MOVIMIENTO HUMANISTA PERUANO,2005,2007
PARTIDO HUMANISTA PERUANO,CONGRESISTA,LINO,HUAMANI AYALA,PERU POSIBLE,2005,2014
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MANUEL,MEJIA ANTON,Partido Aprista Peruano,1984,2010
PARTIDO HUMANISTA PERUANO,CONGRESISTA,MILKA JACQUELINE,SILVA MENDOZA,UNIÓN POR EL PERÚ,2006,2015
PARTIDO HUMANISTA PERUANO,CONGRESISTA,ROSA DELSA,MAVILA LEON,ORGANIZACIÓN POLÍTICA GANA PERÚ,2012,2013
PARTIDO HUMANISTA PERUANO,CONGRESISTA,TONY FRANCO,BALDEON GARCIA,Partido Nacionalista Peruano,2014,2015
PARTIDO HUMANISTA PERUANO,CONGRESISTA,TONY FRANCO,BALDEON GARCIA,Partido Democratico Somos Peru,2006,2011
PARTIDO HUMANISTA PERUANO,CONGRESISTA,WALTER ANTONIO,ZAMORA CAPELLI,Partido Nacionalista Peruano,2006,2010
PARTIDO HUMANISTA PERUANO,CONGRESISTA,YESENIA,DEL AGUILA ROMERO ,Accion Popular,2010,2015
PARTIDO HUMANISTA PERUANO,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ROSA DELSA,MAVILA LEON,ORGANIZACIÓN POLÍTICA GANA PERÚ,2012,2013
PARTIDO NACIONALISTA PERUANO,CONGRESISTA,DAVID,APAZA ENRIQUEZ,PARTIDO NACIONALISTA PERUANO,2005,2014
PARTIDO NACIONALISTA PERUANO,CONGRESISTA,TOMAS MARTIN,ZAMUDIO BRICEÑO,UPP,2005,2010
PARTIDO POLITICO ORDEN,CONGRESISTA,ALEJANDRO FRANCISCO,CUELLAR LEYVA,Partido Popular Cristiano,2002,2007
PARTIDO POLITICO ORDEN,CONGRESISTA,ALLISON,QUISPE ALVAREZ,PARTIDO POPULAR CRISTIANO,2004,2014
PARTIDO POLITICO ORDEN,CONGRESISTA,ARACELY MILUSKA,RUIZ TOCAS,RESTAURACION NACIONAL,2005,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,BEATRIZ JULIA,VALENCIA CAMPOVERDE,PARTIDO POPULAR  CRISTIANO - PPC,2011,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,BEATRIZ JULIA,VALENCIA CAMPOVERDE,PARTIDO DEMOCRATICO SOMOS PERU,2010,2011
PARTIDO POLITICO ORDEN,CONGRESISTA,CARLOS ALBERTO,TORRES CARO,PARTIDO NACIONALISTA PERUANO,2006,2008
PARTIDO POLITICO ORDEN,CONGRESISTA,CESAR HUMBERTO,GALINDO AGUIRRE,ACCION POPULAR,1990,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,CRISTINA,HUAMANÑAHUI BARAZORDA,xxxx,2016,0
PARTIDO POLITICO ORDEN,CONGRESISTA,DIOGENES AMARANTE,JUAREZ CAMPOS,PARTIDO APRISTA PERUANO,1997,2014
PARTIDO POLITICO ORDEN,CONGRESISTA,EMILIANO ELIAS,MENDOZA ZEVALLOS,APP,2008,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,ENITH SADITH,CHUQUIVAL SAAVEDRA,Perú Posible,1999,2006
PARTIDO POLITICO ORDEN,CONGRESISTA,FIDEL ALFREDO,CLARO SINCHE,PERU POSIBLE,2002,2012
PARTIDO POLITICO ORDEN,CONGRESISTA,FIDEL ALFREDO,CLARO SINCHE,PARTIDO NACIONALISTA,2012,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,GUSTAVO ADOLFO,CUADROS OVIEDO,PARTIDO POPULAR CRISTIANO,1980,2011
PARTIDO POLITICO ORDEN,CONGRESISTA,HENRY WILFREDO,PAICO BERNILLA,PARTIDO APRISTA PERIUANO,2006,2010
PARTIDO POLITICO ORDEN,CONGRESISTA,IRMA EUDORA,BURNEO ARRESE,PARTIDO POPULAR CRISTIANO,1983,2009
PARTIDO POLITICO ORDEN,CONGRESISTA,JHONY,PARDAVE LIVIA,PARTIDO POPULAR CRISTIANO ,2005,2009
PARTIDO POLITICO ORDEN,CONGRESISTA,JUAN BENITO,VALENCIA VARGAS,Partido Popular Cristiano,2004,2008
PARTIDO POLITICO ORDEN,CONGRESISTA,MARCELINO WALTER,MARQUINA SALGUERO,PARTIDO POPULAR CRISTIANO,2005,2009
PARTIDO POLITICO ORDEN,CONGRESISTA,MARCELINO WALTER,MARQUINA SALGUERO,PARTIDO APRISTA PERUANO,2008,2009
PARTIDO POLITICO ORDEN,CONGRESISTA,MERY LUCY,BOTTON ESTRADA,Partido Popular Cristiano,1994,2003
PARTIDO POLITICO ORDEN,CONGRESISTA,NORMANDO,MOZOMBITE MENDOZA,ACCIÓN POPULAR,2004,2007
PARTIDO POLITICO ORDEN,CONGRESISTA,ROMULO,MUCHO MAMANI,PERU POSIBLE,2005,2013
PARTIDO POLITICO ORDEN,CONGRESISTA,ROSA AMALIA,PARI QUENTA,NINGUNA,2015,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,RUBEN ANGELINO,AZURIN ALVAREZ,PARTIDO POPULAR CRISTIANO ,2005,2014
PARTIDO POLITICO ORDEN,CONGRESISTA,SATURDINO,BRAN AGUILAR,PARTIDO NACIONALISTA PERUANO,2011,2016
PARTIDO POLITICO ORDEN,CONGRESISTA,SONIA MERCEDES,PAREDES BARRIGA,Partido Popular Cristiano,1976,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,VIHELMO CEFERINO,VELAPATIÑO COCHACHI,PARTIDO POLÍTICO PERÚ POSIBLE,2011,2015
PARTIDO POLITICO ORDEN,CONGRESISTA,YNES MERCEDES,TRUJILLO VIDAL,Partido Político Vamos Perú,2014,2015
PARTIDO POLITICO ORDEN,PRESIDENTE DE LA REPUBLICA,ANTERO,FLORES ARAOZ ESPARZA,Partido Popular Cristiano -PPC,1986,2007
PARTIDO POLITICO ORDEN,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ROMULO,MUCHO MAMANI,PERU POSIBLE,2005,2013
PARTIDO POLITICO ORDEN,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MERY LUCY,BOTTON ESTRADA,Partido Popular Cristiano,1994,2003
PERU LIBERTARIO,CONGRESISTA,CESAR,ACHING GUZMAN,PARTIDO APRISTA PERUANO ,2008,2014
PERU LIBERTARIO,CONGRESISTA,CLETO DANIEL,VALENCIA EYZAGUIRRE,PARTIDO POLITICO PERU POSIBLE,2001,2009
PERU LIBERTARIO,CONGRESISTA,FELICIANO REYNALDO,MENDOZA COSI,FRENTE AMPLIO ,2014,2015
