ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,AMBITO,NOMBRE_CARGO,ANIO_INICIO,ANIO_FINAL
PERU POSIBLE,CONGRESISTA,GERVASIO CLEMENTE,GARCIA SANCHEZ,PROVINCIAL,SECRETARIO PROVINCIAL PERU POSIBLE ,2009,2011
PERU POSIBLE,CONGRESISTA,GISSELA,ROJAS FERNANDEZ,DISTRITAL,SECRETARIA DISTRITAL DE LA MUJER - SAN ISIDRO,2015,Actualidad
PERU POSIBLE,CONGRESISTA,GLADYS AMPARO,TORRES HERNANDEZ,PROVINCIAL,SECRETARIA DE LA MUJER,2012,2014
PERU POSIBLE,CONGRESISTA,GLADYS AMPARO,TORRES HERNANDEZ,PROVINCIAL,SECRETARIA PROVINCIAL DE CHICLAYO,2015,Actualidad
PERU POSIBLE,CONGRESISTA,GLYNDA LINA,LOZANO PEREZ ,DISTRITAL,SECRETARIA DE JUVENTUDES,2012,2013
PERU POSIBLE,CONGRESISTA,GLYNDA LINA,LOZANO PEREZ ,DISTRITAL,SECRETARIA DISTRITAL,2015,2016
PERU POSIBLE,CONGRESISTA,GONZALO,CRUZ ABARCA,REGIONAL,COORDINADOR DE MOVIMIENTOS PROFESIONALES,2001,2006
PERU POSIBLE,CONGRESISTA,GONZALO,CRUZ ABARCA,REGIONAL,SECRETARIO REGIONAL,2015,2016
PERU POSIBLE,CONGRESISTA,GUIDO OCTAVIO,PANTIGOSO MOLINA ,REGIONAL,COORDINAR REGIONAL,2014,2015
PERU POSIBLE,CONGRESISTA,GUIDO OCTAVIO,PANTIGOSO MOLINA ,PROVINCIAL,SECRETARIO DE ORGANIZACION ,1994,1999
PERU POSIBLE,CONGRESISTA,GUIDO OCTAVIO,PANTIGOSO MOLINA ,REGIONAL,SECRETARIO REGIONAL-AREQUIPA,2015,Actualidad
PERU POSIBLE,CONGRESISTA,GUIDO OCTAVIO,PANTIGOSO MOLINA ,PROVINCIAL,SECRETARIO PROVINCIAL ,1999,2002
PERU POSIBLE,CONGRESISTA,HELGA PAOLA,ELERA PITTA,NACIONAL,SUB SECRETARIA DE PRENSA Y COMUNICACION,2012,2014
PERU POSIBLE,CONGRESISTA,HILDA,CHACCHA SUASNABAR ,NACIONAL,SUB SECRETARIA DE CAPACITACIÓN POLÍTICA,2015,Actualidad
PERU POSIBLE,CONGRESISTA,HILDA,CHACCHA SUASNABAR ,NACIONAL,SUB SECRETARÍA DE COMUNICACIÓN Y DIFUSIÓN ,2007,2009
PERU POSIBLE,CONGRESISTA,HILDA,CHACCHA SUASNABAR ,NACIONAL,SUB SECRETARIA GENERAL ,2009,2011
PERU POSIBLE,CONGRESISTA,HILLMER HUMBERTO,REYES MURILLO,NACIONAL,SUB SECRETARIO DE PLAN D EGOBIERNO,2014,Actualidad
PERU POSIBLE,CONGRESISTA,IVAN PAOLO,MONTALVO INOCENTE,DISTRITAL,SECRETARIO DISTRITAL,2015,Actualidad
PERU POSIBLE,CONGRESISTA,JACINTO,VERASTEGUI VELARDE,PROVINCIAL,Secretario Provincial,2005,Actualidad
PERU POSIBLE,CONGRESISTA,JACINTO,VERASTEGUI VELARDE,REGIONAL,Coordinador Regional,2015,2015
PERU POSIBLE,CONGRESISTA,JENNY IRIS,VALLE CAMPOS,REGIONAL,SECRETARIA DE CAPACITACION POLITICA Y DOCTRINA,2015,Actualidad
PERU POSIBLE,CONGRESISTA,JESUS ALFREDO,TOVAR NOROÑA ,DISTRITAL,SECRETARIO DE ECONOMIA COMITE LOS OLIVOS,2013,2014
PERU POSIBLE,CONGRESISTA,JESUS ALFREDO,TOVAR NOROÑA ,DISTRITAL,SECRETARIO DE ECONOMIA COMITE LOS OLIVOS,2000,2012
PERU POSIBLE,CONGRESISTA,JESUS ELIZABETH,TASAYCO TERCERO DE GOMEZ,DISTRITAL,SECRETARIA DE DISCIPLINA,2001,Actualidad
PERU POSIBLE,CONGRESISTA,JESUS ELIZABETH,TASAYCO TERCERO DE GOMEZ,DISTRITAL,SECRETARIA DE ORGANIZACION,2014,2016
PERU POSIBLE,CONGRESISTA,JORGE,PERLACIOS VELASQUEZ,NACIONAL,SUB SECRETARIO NACIONAL DE PLAN DE GOBIERNO Y DESARROLLO,2012,2014
PERU POSIBLE,CONGRESISTA,JORGE,PERLACIOS VELASQUEZ,NACIONAL,SECRETARIO NACIONAL DE PLAN DE GOBIERNO Y DESARROLLO,2002,2005
PERU POSIBLE,CONGRESISTA,JORGE,PERLACIOS VELASQUEZ,NACIONAL,SECRETARIO NACIONAL DE PLAN DE GOBIERNO Y DESARROLLO,2014,2016
PERU POSIBLE,CONGRESISTA,JOSE LEONCIO,CASTAÑEDA ESPEJO,PROVINCIAL,SECRETARIO GENERAL,2010,2012
PERU POSIBLE,CONGRESISTA,JOSE MARIA,NAMOC MEDINA,PROVINCIAL,SECRETARIO DE ORGANIZACION,2014,2015
PERU POSIBLE,CONGRESISTA,JOSE MARIA,NAMOC MEDINA,PROVINCIAL,SECRETARIO DE MOVILIZACION,2000,2006
PERU POSIBLE,CONGRESISTA,JUAN DE DIOS,RAMIREZ CANCHARI,REGIONAL,SECRETARIO REGIONAL DE ICA,2015,Actualidad
PERU POSIBLE,CONGRESISTA,JUAN DE DIOS,RAMIREZ CANCHARI,NACIONAL,SUB SECRETARIO NACIONAL DE DESCENTRALIZACIÓN,2009,2011
PERU POSIBLE,CONGRESISTA,JUANA,MAMANI CALSIN,DISTRITAL,Cordinadora de Asuntos de la Mujer,2003,Actualidad
PERU POSIBLE,CONGRESISTA,JUANA,MAMANI CALSIN,DISTRITAL,Secretaria de la Economia,2005,Actualidad
PERU POSIBLE,CONGRESISTA,JUANA,MAMANI CALSIN,DISTRITAL,Secretaria de la Mujer,2000,2002
PERU POSIBLE,CONGRESISTA,JUANA GRIMALDA,GUTIERREZ RAMOS ,PROVINCIAL,SECRETARIA DE COMUNICACION,2003,2005
PERU POSIBLE,CONGRESISTA,JUANA GRIMALDA,GUTIERREZ RAMOS ,DISTRITAL,SECRETARIA DE COMITE DE BASE,2001,2003
PERU POSIBLE,CONGRESISTA,JUANA GRIMALDA,GUTIERREZ RAMOS ,PROVINCIAL,PRESIDENTA DEL COMITÉ ELECTORAL ,2005,2005
PERU POSIBLE,CONGRESISTA,LUIS ALBERTO,ARAUJO SALINAS,REGIONAL,secretaria de prensa y propaganda,2015,Actualidad
PERU POSIBLE,CONGRESISTA,LUIS GUSTAVO,GUTIERREZ TICSE,NACIONAL,SECRETARIO DE ASUNTOS PROFESIONALES,2006,2006
PERU POSIBLE,CONGRESISTA,MARCO ANTONIO AUGUSTO,PEREZ RAMIREZ ANDRADE,REGIONAL,COORDINADOR REGIONAL,2015,2015
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,DISTRITAL,SECRETARIA DISTRITAL,2014,2016
PERU POSIBLE,CONGRESISTA,MARIA AZUCENA,ALEGRIA ROMAN ,DISTRITAL,SECRETARIA DISTRITAL,2014,2016
PERU POSIBLE,CONGRESISTA,MARIA DEL CARMEN,OMONTE DURAND,NACIONAL,Secretaria Nacional de Politica,2015,Actualidad
PERU POSIBLE,CONGRESISTA,MARIA DEL CARMEN,OMONTE DURAND,NACIONAL,Personero Legal Alterno,2005,2007
PERU POSIBLE,CONGRESISTA,MARIA DEL CARMEN,OMONTE DURAND,NACIONAL,Secretaria Nacional de Politica,2013,2014
PERU POSIBLE,CONGRESISTA,MARIA TERESA,NUNURA RODRIGUEZ,PROVINCIAL,SECRETARIA DE LA MUJER,2015,2016
PERU POSIBLE,CONGRESISTA,MARINA TERESA,VALENZUELA PACHECO,DISTRITAL,SECRETARIA DE ORGANIZACION,2009,2011
PERU POSIBLE,CONGRESISTA,MARINA TERESA,VALENZUELA PACHECO,DISTRITAL,SECRETARIA DE ORGANIZACION,2011,2013
PERU POSIBLE,CONGRESISTA,MARINA TERESA,VALENZUELA PACHECO,REGIONAL,JEFE DE CAMPAÑA,2011,2011
PERU POSIBLE,CONGRESISTA,MARIO,AQUISE GOMEZ,PROVINCIAL,SECRETARIO DE COMUNICACIÓN SOCIAL,1999,2005
PERU POSIBLE,CONGRESISTA,MELQUIADES EULALIO,BALDEON PARDO ,PROVINCIAL,SECRETARIO PROVINCIAL,1991,1992
PERU POSIBLE,CONGRESISTA,MELQUIADES EULALIO,BALDEON PARDO ,PROVINCIAL,SECRETARIO PROVINCIAL ,2013,2016
PERU POSIBLE,CONGRESISTA,MILAGROS JANET,GUZMAN SOTO,PROVINCIAL,JEFE COMANDO CAMPAÑA,2011,2011
PERU POSIBLE,CONGRESISTA,MILAGROS JANET,GUZMAN SOTO,PROVINCIAL,SECRETARIA PROV. MARISCAL NIETO,2009,2011
PERU POSIBLE,CONGRESISTA,MILAGROS JANET,GUZMAN SOTO,REGIONAL,SECRETARIA EJECUTIVA REGIONAL MOQUEGUA,2015,Actualidad
PERU POSIBLE,CONGRESISTA,MILAGROS JANET,GUZMAN SOTO,PROVINCIAL,PDTA. COMISION ASUNTOS DE LA MUJER,2001,2004
PERU POSIBLE,CONGRESISTA,MILAGROS JANET,GUZMAN SOTO,PROVINCIAL,SECRETARIO PROV. MARISCAL NIETO,2007,2009
PERU POSIBLE,CONGRESISTA,MIRTA ISABEL,VELASQUEZ CHUMAN,PROVINCIAL,SECRETARIA PROVINCIAL DE FERREÑAFE,2015,Actualidad
PERU POSIBLE,CONGRESISTA,NANCY IDALIA,GIL VILLANUEVA ,PROVINCIAL,SECRETARIA DE ORGANIZACION,2014,2015
PERU POSIBLE,CONGRESISTA,NANCY IDALIA,GIL VILLANUEVA ,DISTRITAL,SECRETARIA DISTRITAL,2003,2005
PERU POSIBLE,CONGRESISTA,NANCY IDALIA,GIL VILLANUEVA ,PROVINCIAL,SECRETARIA  DE LA MUJER,2009,2011
PERU POSIBLE,CONGRESISTA,OSCAR ROLANDO,MORALES VEGA ,NACIONAL,SUB SECRETARIO DE POLITICA,2015,Actualidad
PERU POSIBLE,CONGRESISTA,PATRICIA ISABEL,DEL AGUILA GERBI,PROVINCIAL,SECRETARIA DE ORGANIZACION,2000,2005
PERU POSIBLE,CONGRESISTA,PEDRO HECTOR,PARCO ESPINOZA,PROVINCIAL,SECRETARIO REGIONAL DE JUNIN,2015,Actualidad
PERU POSIBLE,CONGRESISTA,PEDRO HECTOR,PARCO ESPINOZA,PROVINCIAL,SECRETARIO PROVINCIAL DE TARMA,2002,2003
PERU POSIBLE,CONGRESISTA,PEDRO HECTOR,PARCO ESPINOZA,PROVINCIAL,SECRETARIO PROVINCIAL DE TARMA,2000,2002
PERU POSIBLE,CONGRESISTA,PURISIMA MARITHE,PINEDO VASQUEZ,REGIONAL,SECRETARÍA DE COMUNICACIONES DIFUSIÓN Y PRENSA,2015,Actualidad
PERU POSIBLE,CONGRESISTA,RAFAEL,PEZO DIAZ,REGIONAL,COORDINADOR REGIONAL,2016,Actualidad
PERU POSIBLE,CONGRESISTA,RAFAEL,PEZO DIAZ,PROVINCIAL,SECRETARIO PROVINCIAL DE MAYNAS,2009,2011
PERU POSIBLE,CONGRESISTA,RENNAN SAMUEL,ESPINOZA ROSALES ,DISTRITAL,SECRETARIO DISTRITAL DE PUENTE PIEDRA,2009,2011
PERU POSIBLE,CONGRESISTA,RENNAN SAMUEL,ESPINOZA ROSALES ,NACIONAL,SUB SECRETARIO GENERAL,2014,2016
PERU POSIBLE,CONGRESISTA,ROBERTO ANTONIO,CASTRO MEZONES,PROVINCIAL,secretario provincial,2015,Actualidad
PERU POSIBLE,CONGRESISTA,ROBERTO EDMUNDO,ANGULO ALVAREZ,REGIONAL,COORDINADOR REGIONAL,2010,2011
PERU POSIBLE,CONGRESISTA,SANTOS JUVENAL,BORDA ORIHUELA,REGIONAL,SECRETARIO REGIONAL,2012,Actualidad
PERU POSIBLE,CONGRESISTA,SANTOS JUVENAL,BORDA ORIHUELA,PROVINCIAL,SECRETARIO DE ORGANIZACION PROVINCIAL,2010,2011
PERU POSIBLE,CONGRESISTA,SILVIA,BARRERA VASQUEZ ,NACIONAL,SECRETARIA DE LA MUJER,2012,2014
PERU POSIBLE,CONGRESISTA,SILVIA,BARRERA VASQUEZ ,DISTRITAL,SECRETARIA DISTRITAL VILLA MARIA DEL TRIUNFO,2012,2014
PERU POSIBLE,CONGRESISTA,SILVIA,BARRERA VASQUEZ ,NACIONAL,SECRETARIA DE ORGANIZACION,2014,2016
PERU POSIBLE,CONGRESISTA,TERESA ETELBINA,ALAGON JAUREGUI,PROVINCIAL,SECRETARIA PROVINCIAL DE PARTIDO ,2016,Actualidad
PERU POSIBLE,CONGRESISTA,VICTORIA,VILLANUEVA QUIÑONES ,DISTRITAL,SECRETARIA DE LA MUJER,2012,2014
PERU POSIBLE,CONGRESISTA,VICTORIA,VILLANUEVA QUIÑONES ,NACIONAL,SECRETARIA DE ETICA Y DISCIPLINA,2015,2016
PERU POSIBLE,CONGRESISTA,WALTER FRANCISCO,GAGO RODRIGUEZ,PROVINCIAL,SECRETARIO PROVINCIAL DE YAUYOS,2009,2011
PERU POSIBLE,CONGRESISTA,WALTER FRANCISCO,GAGO RODRIGUEZ,NACIONAL,SECRETARIO NACIONAL COLEGIADO DE ECONOMIA Y FINANZAS,1999,2002
PERU POSIBLE,CONGRESISTA,WALTER FRANCISCO,GAGO RODRIGUEZ,REGIONAL,SECRETARIO REGIONAL DE LIMA PROVINCIAS,2015,Actualidad
PERU POSIBLE,CONGRESISTA,WARREN FRANCISCO,GONZALES MARTINEZ,PROVINCIAL,REORGANIZADOR,2015,2015
PERU POSIBLE,CONGRESISTA,YENY ALICIA,VILLA ROJAS,PROVINCIAL,SECRETARIA PRENSA Y PROPAGANDA,2013,2015
PERU POSIBLE,CONGRESISTA,YENY ALICIA,VILLA ROJAS,DISTRITAL,SECRETARIA DISTRITAL ,2009,2012
PERU POSIBLE,CONGRESISTA,YVAN SEGUNDINO,HERNANDEZ CARRASCO,NACIONAL,SUB SECRETARIO NACIONAL DE DESCENTRALIZACION Y GOBIERNOS LOCALES,2015,Actualidad
PERU POSIBLE,CONGRESISTA,YVAN SEGUNDINO,HERNANDEZ CARRASCO,PROVINCIAL,SECRETARIO PROVINCIAL,2014,2015
PERU POSIBLE,PRESIDENTE DE LA REPUBLICA,ALEJANDRO,TOLEDO MANRIQUE,NACIONAL,Presidente,1994,Actualidad
PERU POSIBLE,PRIMER VICEPRESIDENTE DE LA REPUBLICA,FERNANDO MARCIAL,AYAIPOMA ALVARADO,NACIONAL,Secretario General,2015,Actualidad
PERU POSIBLE,PRIMER VICEPRESIDENTE DE LA REPUBLICA,FERNANDO MARCIAL,AYAIPOMA ALVARADO,NACIONAL,Secretario de Politica,2009,2011
PERU POSIBLE,PRIMER VICEPRESIDENTE DE LA REPUBLICA,FERNANDO MARCIAL,AYAIPOMA ALVARADO,NACIONAL,Miembro de la Comisión Politica,2013,Actualidad
PERU POSIBLE,PRIMER VICEPRESIDENTE DE LA REPUBLICA,FERNANDO MARCIAL,AYAIPOMA ALVARADO,NACIONAL,Secretario de Capacitación Politica,2011,2013
PERU POSIBLE,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MARIA DEL CARMEN,OMONTE DURAND,NACIONAL,Personero Legal Alterno,2005,2007
PERU POSIBLE,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MARIA DEL CARMEN,OMONTE DURAND,NACIONAL,Secretaria Nacional de Politica,2013,2014
PERU POSIBLE,SEGUNDO VICEPRESIDENTE DE LA REPUBLICA,MARIA DEL CARMEN,OMONTE DURAND,NACIONAL,Secretaria Nacional de Politica,2015,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,ALDO FRANCO LEON,LOMBARDI MONTERO,NACIONAL,PRESIDENTE DEL TRIBUNAL ELECTORAL,2011,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ALDO VLADIMIRO,ESTRADA PEÑA,REGIONAL,APODERADO,2009,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,ALDO VLADIMIRO,ESTRADA PEÑA,REGIONAL,PERSONERO LEGAL ,2009,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,ALEX JOEL,CASTILLO BAZAN,REGIONAL,SEGUNDO SUB SECRETARIO REGIONAL DE CAMPAÑA LA LIBERTAD,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,NACIONAL,MIEMBRO DE COMISIÓN POLÍTICA,2005,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,NACIONAL,JEFE NACIONAL DE CAMPAÑA,2010,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,PROVINCIAL,JEFE DE CAMPAÑA LIMA,2001,2001
PERUANOS POR EL KAMBIO,CONGRESISTA,CARLOS RICARDO,BRUCE MONTES DE OCA,NACIONAL,SECRETARIO GENERAL COLEGIADO,2002,2005
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN,CHIROQUE PAICO,PROVINCIAL,SECRETARIA DE ECONOMIA,2007,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN,CHIROQUE PAICO,PROVINCIAL,SECRETARIA DE LA PEQUEÑA Y MICROEMPRESA,2014,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN ROSA,NUÑEZ CAMPOS,REGIONAL,PRESIDENTA,2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,CARMEN ROSA,NUÑEZ CAMPOS,REGIONAL,PRESIDENTA FUNDADORA,2012,2016
PERUANOS POR EL KAMBIO,CONGRESISTA,CLEMENTE,FLORES VILCHEZ,REGIONAL,1ER SUB SECRETARIO,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,CLORIS,VELA ANGULO,REGIONAL,SECRETARIA DE ASISTENCIA SOCIAL Y PROYECCION COMUNITARIA. CTE. REGIONAL DE SALUD,2013,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,DONATO,DIAZ AYALA,NACIONAL,COORDINADOR DISTRITAL DE CAMPAÑA,2015,2016
PERUANOS POR EL KAMBIO,CONGRESISTA,EDGAR DAVID,VILLANUEVA NUÑEZ,PROVINCIAL,PRESIDENTE,2006,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,EDUARDO,ESPINOZA RAMOS,REGIONAL,SECRETARIO CAJAMARCA,2004,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,EDUARDO,ESPINOZA RAMOS,NACIONAL,PRESIDENTE,2010,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,FLOR MARISOL,BOCANEGRA URTECHO,REGIONAL,COORDINADORA REGIONAL PARA PROPUESTAS DE LISTAS Y CANDIDATOS E.R.M 2006,2006,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,FLOR MARISOL,BOCANEGRA URTECHO,PROVINCIAL,COORDINADORA DE CAMPAÑA DE LA MUJER,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,FLOR MARISOL,BOCANEGRA URTECHO,REGIONAL,DIRIGENTE DE BASES,2009,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,FLOR MARISOL,BOCANEGRA URTECHO,REGIONAL,TITULAR POMOTOR- PRESIDENTE,2012,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,FREDDY ANGELLO,SIFUENTES OCAÑA,DISTRITAL,COORDINADOR DISTRITAL,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,GILBERT FELIX,VIOLETA LOPEZ ,NACIONAL,VICEPRESIDENTE EJECUTIVO,2011,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,GINO FRANCISCO,COSTA SANTOLALLA,NACIONAL,MIEMBRO DEL COMITE EJECUTIVO NACIONAL,2005,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,GIOCONDA ROSALBA,TRIPI MORALES,REGIONAL,Afiliada,2006,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,GLORIA,CASTILLO VALVERDE,NACIONAL,SEC. REG. DE ORGANIZACION,2005,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,GLORIA,CASTILLO VALVERDE,REGIONAL,Secretaria regional de organización,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,GONZALO EDUARDO,SANCHEZ BOCANEGRA,NACIONAL,COORDINADOR REGIONAL,2014,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,GONZALO EDUARDO,SANCHEZ BOCANEGRA,PROVINCIAL,SECRETARIO PROVINCIAL,2005,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,IVONNE,CONTRERAS CAMACHO,PROVINCIAL,SECRETARIO DE ECONOMÍA AYMARAES,2013,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,IVONNE,CONTRERAS CAMACHO,REGIONAL,PERSONERO LEGAL TÍTULAR INVITADA,2006,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,IVONNE,CONTRERAS CAMACHO,PROVINCIAL,PERSONERO LEGAL SUPLENTE,2010,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,JANET EMILIA,SANCHEZ ALVA,NACIONAL,SECRETARIA NACIONAL DE ACTAS Y ARCHIVOS E INFORMÁTICA,2013,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,JANET EMILIA,SANCHEZ ALVA,NACIONAL,Secretaría Nacional de Inclusión Social y lucha contra la Pobreza,2015,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,JANET EMILIA,SANCHEZ ALVA,REGIONAL,SEC. DE ORGANIZACIÓN,2012,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,JAVIER FERNANDO MIGUEL,ATKINS LERGGIOS,REGIONAL,FUNDADOR,2009,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,JAVIER FERNANDO MIGUEL,ATKINS LERGGIOS,REGIONAL,PRESIDENTE DE ALIANZA ELECTORAL PPC-MRTP,2014,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,JHACSON HOWARD,FLORES REYNAGA,PROVINCIAL,PRENSA Y PROPAGANDA,2011,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,JHACSON HOWARD,FLORES REYNAGA,PROVINCIAL,PRENSA Y PROPAGANDA,2014,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE ENRIQUE,MELENDEZ CELIS,REGIONAL,PERSONERO LEGAL TITULAR,2013,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE LUIS,VILLACORTA CARRANZA,NACIONAL,SECRETARIO NACIONAL DE PRENSA Y COMUNICACIÓN Y DIFUSION,2015,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE LUIS,VILLACORTA CARRANZA,NACIONAL,SUB SECRETARIA NACIONAL DE ORGANIZACION,2005,2007
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE LUIS,VILLACORTA CARRANZA,NACIONAL,SECRETARIO NACIONAL DE ORGANIZACION,2009,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,JORGE WILSON,RIOS PEZO,REGIONAL,SECRETARIO REGIONAL,2015,2016
PERUANOS POR EL KAMBIO,CONGRESISTA,JOSE EDGAR,ROMERO VALENCIA,NACIONAL,2DO SUB SECRETARIO REGIONAL ,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,JOSE LUIS,HANCCO MAMANI,PROVINCIAL,PRIMER SUB SECRETARIO NACIONAL,2015,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,JOSE LUIS,NOVOA FLORES,REGIONAL,SECRETARIO GENERAL,2013,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,JUAN MANUEL KOSME,SHEPUT MOORE,NACIONAL,SECRETARIO DE POLÍTICA,2001,2006
PERUANOS POR EL KAMBIO,CONGRESISTA,JULIO CESAR,MEZA CCANTO,REGIONAL,SECRETARIO REGIONAL DE LA JUVENTUD,2013,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,JULIO CESAR,MEZA CCANTO,REGIONAL,SECRETARIO DEL COMITE ELECTORAL,2013,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS ALFONSO,MONCADA VIGO,REGIONAL,SECRETARIO IDEOLOGÍA Y DOCTRINA,2014,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS ALFREDO,CHAMORRO MONTOYA,REGIONAL,JEFE DE CAMPAÑA,2013,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS ALFREDO,CHAMORRO MONTOYA,REGIONAL,COORDINADOR GENERAL DE LA PROVINCIA DEL SANTA,2009,2010
PERUANOS POR EL KAMBIO,CONGRESISTA,LUIS POMPILIO,RAMIREZ PINEDO,REGIONAL,COORDINADOR REGIONAL DE SAN MARTIN,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,MARCO ANTONIO,MALDONADO GUTARRA,NACIONAL,SECRETARIO NACIONAL DE JUVENTUDES,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,MARCO ANTONIO,MALDONADO GUTARRA,NACIONAL,FUNDADOR ,2011,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,MARIO DELFIN,RIOS ESPINOZA,REGIONAL,SECRETARIO DE ACTAS Y ARCHIVOS,2004,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,MARIO NEMECIO,MELO VILLALVA,PROVINCIAL,SECRETARIO DE ETICA Y DISCIPLINA,2014,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,MARIO NEMECIO,MELO VILLALVA,REGIONAL,SECRETARIO GENERAL,2007,2013
PERUANOS POR EL KAMBIO,CONGRESISTA,MAURICIO,RODRIGUEZ RODRIGUEZ,REGIONAL,MILITANTE,2010,2014
PERUANOS POR EL KAMBIO,CONGRESISTA,MOISES BARTOLOME,GUIA PIANTO,NACIONAL,PRESIDENTE ,2012,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,NIDIA ORFELINDA,PUELLES BECERRA ,NACIONAL,FUNDADORA,2001,Actualidad
PERUANOS POR EL KAMBIO,CONGRESISTA,NIDIA ORFELINDA,PUELLES BECERRA ,NACIONAL,SECRETARIA NACIONAL DE DEFENSA INSTITUCIONAL,2011,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,NOE,HERNANDEZ IZQUIERDO,REGIONAL,PRESIDENTE EJECUTIVO REGIONAL,2006,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,RAFAEL,VARGAS MALAGA,REGIONAL,JEFE DE COMANDO DE CAMPAÑA REGIONAL,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,RICHARD HERCELLES,NEIRA COLMENARES,PROVINCIAL,SECRETARIO PROVINCIAL DE HUANCABAMBA,2015,2015
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,REGIONAL,DIRIGENTE DE LIMA METROPOLITANA,2009,2011
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,NACIONAL,SECRETARIO NACIONAL DE PERUANOS EN EL EXTERIOR,2011,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,NACIONAL,SECRETARIO NACIONAL DE JUVENTUDES,2004,2004
PERUANOS POR EL KAMBIO,CONGRESISTA,ROBERTO GAMANIEL,VIEIRA PORTUGAL ,NACIONAL,FUNDADOR,2011,2012
PERUANOS POR EL KAMBIO,CONGRESISTA,RODOLFO GERMAN,JIMENEZ DIAZ,REGIONAL,COORDINADOR DEPARTAMENTAL,2002,2004
