ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,CENTRO_SECUNDARIA,FECHAS,GRADO1,GRADO2,GRADO3,GRADO4,GRADO5
ACCION POPULAR,CONGRESISTA,AMELIA HILDA,CELIS SOTO,"C.N. C.H ""Santa Rosa de Lima""",1978 - 1982,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,AMELIA PILAR,SOSA DAMIAN,I.E. SANTIAGO A. M.,1994 - 1998,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANA MARIA,BUSTAMANTE SANCHEZ,"IE ""VIRGEN DE ASUNTA""",1977 - 1981,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,C.E. Santa Rosa,1981 - 1984,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,ANA MARIA DEL ROSARIO,RIOS NEGREIROS,C.E.P La Inmaculada ,1984 - 1985,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANGEL,YBARHUEN ORTEGAL,MARISCAL ORBEGOSO,1967 - 1971,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ANTONIO REYLES,TALENAS VERROCAL,COLEGIO NACIONAL MIXTO DE JESÚS,1968 - 1970,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,ANTONIO REYLES,TALENAS VERROCAL,COLEGIO NACIONAL MIXTO ILLATUPA,1971 - 0,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,ESEP TUPAC AMARU ,1975 - 1977,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ARMANDO,VILLANUEVA MERCADO,GARCILASO,1972 - 1974,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,LOS REYES ROJOS,1997 - 2001,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,AZAEL,CORDOVA CASTILLO,N°14,1968 - 1972,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,BALTAZAR,LANTARON NUÑEZ,MIGUEL GRAU,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,BERNARDINO,LALOPU SILVA,Institución Educativa Tupac Amaru - Tuman,1978 - 1982,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,BLANCA MARIA,ROCHA VDA DE JANZ,COLEGIO PARTICULAR PADRE ABAD,1956 - 1961,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS,CCANAHUIRE LAURA,COLEGIO JULIO C. TELLO,1991 - 1994,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,CE SAN MARTIN,1972 - 1972,,,,,5TO
ACCION POPULAR,CONGRESISTA,CARLOS ALBERTO,LAINEZ PALACIOS,JM ITURREGUI,1967 - 1971,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,CARLOS ANDRES,TRELLES SARAZU,SALESIANOS,1987 - 1991,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS ENRIQUE,MORALES MANSILLA,SALESIANO SANTA ROSA,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS FERNANDO,HERRERA DESCALZI,COLEGIO NACIONAL SAN JOSE DE CHICLAYO,1957 - 1961,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARLOS PEDRO,ORTIZ SEGURA,CEP COLEGIO SANTA MARGARITA,1976 - 1980,,,,,5TO
ACCION POPULAR,CONGRESISTA,CARMELA TEODORA,APOLAYA HIDALGO ,C.E.P. SANTA RITA DE CASSIA,1977 - 1981,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARMEN ROSA,AGUILAR ALGUIAR,CN ZOILA AURORA CACERES,1971 - 1975,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CARMEN ROSSANA,MONROY PIEROLA DE TALLEDO,IE NUESTRA SEÑORA DE LA CANDELARIA,1970 - 1974,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CELIA ROSA,QUISPE RICALDE,SANTA ANA,1979 - 1984,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,CESAR AUGUSTO LFJP,MARMOL WITTGRUBER,COLEGIO PEDRO RUIZ GALLO CIMP - CHORRILLOS,1967 - 1972,,,,,5TO
ACCION POPULAR,CONGRESISTA,CESAR GILMER,MENDOZA MENDOZA,I.E. 80456,1983 - 1987,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,JOSE CARLOS MARIATEGUI ANTABAMBA,1987 - 0,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,DELISIA,CACERES LOPEZ,L.V.BEETHOVEN AREQUIPA,1989 - 1991,,,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,EDELMIRA,RAMOS LOZANO,SAGRADO CORAZON DE JESUS,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,EDGARDO ARTURO,ESCOBAR PORRAS,"ANEXO DE LA GUE ""DANIEL ALCIDES CARRIÓN""",1966 - 0,,,,,
ACCION POPULAR,CONGRESISTA,EDGARDO ARTURO,ESCOBAR PORRAS,"GUE ""DANIEL ALCIDES CARRIÓN""",1971 - 1976,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,EDGARDO ARTURO,ESCOBAR PORRAS,"GUE ""DANIEL ALCIDES CARRIÓN""",1971 - 0,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,EDMUNDO,DEL AGUILA HERRERA,INMACULADA,1984 - 1988,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,EDULFO DE JESUS,ARAUJO MEJIA,la Imaculada,2000 - 2000,,,3ERO,,
ACCION POPULAR,CONGRESISTA,EDULFO DE JESUS,ARAUJO MEJIA,M.a.a.c,2001 - 2002,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,EDULFO DE JESUS,ARAUJO MEJIA,M.a.a.c.,1998 - 1999,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,EDWIN JAVIER,MARTINEZ CONCHA,G.U.E. MARIANO MELGAR,1983 - 1987,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ELENA VICTORIA,OLSSON NAVARRO,Isabel la Catolica,1971 - 1973,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ELENA VICTORIA,OLSSON NAVARRO,La Imaculada,1968 - 1970,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,ELIAS ROBERTO,BARZOLA BARZOLA,I.E. DANIEL HERNANDEZ,1986 - 1990,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ELIO ROLANDO,SESEN MARIANO,"IE ""PUERTO GALILEA""",2000 - 2004,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ELVA M,TAPIA BAZAN,CEP La Inmaculada,1960 - 0,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,ELVA M,TAPIA BAZAN,C.E.P. María Del Socorro,1957 - 1959,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,ERIC,SEGURA TTITO,SAN FRANCISCO DE ASIS,1987 - 1991,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,FERNANDO,GARCIA LOPEZ,C.E. JIMENEZ PIMENTEL,1977 - 1979,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,FERNANDO,GARCIA LOPEZ,ESET MILITAR M.R.C.,1980 - 1981,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,FERNANDO,AGUILAR CASTILLO,SAN ANTONIO ABAD,1971 - 1975,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,GIOVANNA ELIZABETH,CASTRO VILLANUEVA,CN. SANTA TERESITA,1986 - 1990,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,GLADYS MARLENE,ORTIZ RODRIGUEZ,Instituto Nac. Fem. N° 14 Rosa Flores de Oliva (Ahora I.E. Rosa Flores de Oliva),1973 - 1977,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,GLADYS TERESA,LUGO VALENZUELA,MERCEDES YNDACOCHEA,1971 - 1975,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,GLORIA ALBINA,ALVARADO ROMERO,COLEGIO SANTA ROSA DE LIMA,1968 - 1973,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,GLORIA ESTHER,CHIROQUE QUIÑONES,INC Nº 40,1966 - 1971,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,HOVER JULIO,PARIONA YAURI,JOSE MARIA ARGUEDAS,1997 - 1998,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,HOVER JULIO,PARIONA YAURI,SEÑOR DE HUAYLLAY,1994 - 1996,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,HUGO ESAUD,BENDEZU HUARCAYA,G.U.E. JOSE DE SAN MARTIN,1975 - 1979,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Agustin Lopez Pardo,1966 - 1966,1ERO,,,,
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Cn.Parque Saenz Peña,1969 - 1969,,,,4TO,
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Genaro Herrera,1967 - 1968,,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,HUGO POMPEYO,TUESTA SALDAÑA,Melinton Carvajal,1970 - 1970,,,,,5TO
ACCION POPULAR,CONGRESISTA,HUMBERTO CONSTANTINO,ANDRADE ANGULO,GUE SAN CARLOS,1965 - 1965,,,,,5TO
ACCION POPULAR,CONGRESISTA,HUMBERTO CONSTANTINO,ANDRADE ANGULO,GUE SAN CARLOS,1954 - 1957,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,IBO,URBIOLA SIERRA,CEP ALFONSO UGARTE,1987 - 1987,,,3ERO,,
ACCION POPULAR,CONGRESISTA,IBO,URBIOLA SIERRA,CEP DOSCIENTAS MILLAS PERUANAS,1988 - 1989,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,IBO,URBIOLA SIERRA,C.N. MIGUEL GRAU,1985 - 1986,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,ISABEL,DAVILA CARDENAS,COLEGIO PARTICULAR MARÍA MONTESSORI,1969 - 1973,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JANET,CORISEPA NERY,Colegio Billinghurst,1983 - 1983,1ERO,,,,
ACCION POPULAR,CONGRESISTA,JANETH,QUISPE PAITAN,I.E. FRANCISCA DIEZ CANSECO DE CASTILLA,1993 - 1997,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JAVIER ENRIQUE,ROCHA MORENO ,CEP PIPERS,1998 - 2000,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,JAVIER ENRIQUE,ROCHA MORENO ,CEP YURIMAGUAS,2002 - 2002,,,,,5TO
ACCION POPULAR,CONGRESISTA,JAVIER ENRIQUE,ROCHA MORENO ,C.N.E SAN JOSE,2001 - 2001,,,,4TO,
ACCION POPULAR,CONGRESISTA,JHOSSELYN JHEYDI,QUIROZ PALACIOS,INCA GARCILASO DE LA VEGA ,2000 - 2004,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,COLEGIO NACIONAL ILLATHUPA,1999 - 2002,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,JIMMY ANTONIO,PONCE RIVERA,C.P ANDRES RAZURI,2003 - 2003,,,,,5TO
ACCION POPULAR,CONGRESISTA,JOEL ALEX,CAMPOS FLORES,IESM SAN MIGUEL DE TABACONAS,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JORGE EDUARDO,APONTE REY,INA Nº 37,1964 - 1968,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JORGE LUIS,QUINTANA GARCIA GODOS,CEBA SALESIANOS,1987 - 1989,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,JORGE LUIS,QUINTANA GARCIA GODOS,COLEGIO SAN MARCOS ,1990 - 0,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,JORGE RAFAEL,FOINQUINOS MERA ,COLEGIO NACIONAL LIMA,1966 - 1971,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JOSE FELIX,ROMAN FERREYRA,C.E.P. CHAMPAGNAT,1973 - 1977,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,"C.N.E. ""ILLA TUPA""",1984 - 1984,,,,4TO,
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,G-.U.E. GONZALEZ VIGIL,1980 - 1982,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,JOSE HUGUIER,SANCHEZ CHAVEZ,G.U.E. GONZALEZ VIGIL,1985 - 1985,,,,,5TO
ACCION POPULAR,CONGRESISTA,JOSE ROSELL,RUBIO MONTEZA,C.E. Jaén de Bracamoros,1994 - 1994,,,,,5TO
ACCION POPULAR,CONGRESISTA,JOSE ROSELL,RUBIO MONTEZA,C.E. José Carlos Mariátegui,1990 - 1993,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,MERINO CASTRO,COLEGIO MILITAR ELIAS AGUIRRE,1974 - 1975,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,MERINO HUAMAN,Colegio Militar Leoncio Prado ,1998 - 2000,,,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,MERINO CASTRO,COLEGIO MILITAR RAMON CASTILLA,1973 - 1973,,,3ERO,,
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,MERINO CASTRO,COLEGIO NACIONAL  24 DE JULIO,1971 - 1972,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,RUIZ SALDAÑA,I.E. JAVIER HERAUD,1980 - 1984,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JUAN CARLOS,MERINO HUAMAN,I.E.P. MIGUEL DE CERVANTES,1996 - 1997,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,JUAN JOSE,ROCHA LOPEZ,I.E. VIRGEN DOLOROSA,2001 - 2003,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,JUAN JOSE,ROCHA LOPEZ,I.E.P. SAN JUAN BOSCO,2004 - 0,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,JUAN MARIANO,NAVARRO PANDO,CLARETIANO,1982 - 1986,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,I.E.P MIGUEL GRAU,1967 - 1967,,,3ERO,,
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,JUAN MANUEL ITURREGUI,1965 - 1966,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,JULIO,MORENO CARRASCO,KARL WEISS,1968 - 1969,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,JULIO SALVADOR,CORREA CHAVEZ,G.U.E. Carlos G. Noriega ,1983 - 1987,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,JUSTINA,APAZA LOPEZ,GUE ELVIRA GARCA Y GARCIA,1969 - 1973,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,KELLY AMANDA,SOTO ENRIQUEZ,LADISLAO,1994 - 1995,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,KELLY AMANDA,SOTO ENRIQUEZ,SANTA ROSA DE VITERBO,1996 - 1998,,,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LENIN ALEJANDRO,ESPINOZA VALERIO,C.N.M CAP. MARCELINO VALVERDE,1989 - 1994,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LEOPOLDO ANIBAL,ALBAÑIL ORDINOLA,MIGUEL CORTES,1972 - 1977,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,JOAQUÍN CAPELO,1982 - 1985,,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LIVIA SOLEDAD,MAYOR MONTESINOS,SAGRADO CORAZÓN DE JESUS,1981 - 1981,1ERO,,,,
ACCION POPULAR,CONGRESISTA,LUDGERIO,ABANTO ALBARRAN,G.U.E-SAN RAMON-INEI N°5,1967 - 1971,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LUIS ALBERTO MARTIN,FRANCO MORA,SANTA ROSA ,1976 - 1980,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,SALESIANOS,1987 - 1991,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LUIS CARLOS,SIMEON HURTADO,C.F.  ALMIRANTE GRAU,1990 - 1993,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,LUIS CARLOS,SIMEON HURTADO,C.F. COLUMNA PASCO,1993 - 1994,,,,4TO,
ACCION POPULAR,CONGRESISTA,LUIS CARLOS,SIMEON HURTADO,C.N. AL AMAUTA JOSE CARLOS MAREATEGUI,1994 - 1995,,,,,5TO
ACCION POPULAR,CONGRESISTA,LUIS FERNANDO,OLAZABAL CONDE,G.U.E. PEDRO A. LABARTE,1966 - 1970,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LUIS HUMBERTO,SIME BALLADARES,Colegio Nacional Manuel Antonio Mesones Muro,1972 - 1977,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,LUIS SEGUNDO,YOVERA CHICOMA,COLEGIO MELITON CARBAJAL,1973 - 1977,,,,,5TO
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,BRINGAS VARGAS,CRISTO REY E INDOAMERICANO,1976 - 1980,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MANUEL ARTURO,MERINO DE LAMA,INMACULADA CONCEPCION,1974 - 1978,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MARGARITA YSABEL,YSLA GUIDO,COLEGIO BELLAVISTA,1965 - 1968,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,MARIA CONCEPCION,HUAMAN GUADALUPE,I.E. AUGUSTO B. LEGUIA,1982 - 0,,,,,5TO
ACCION POPULAR,CONGRESISTA,MARIA CONCEPCION,HUAMAN GUADALUPE,I.E.P DIVINO MAESTRO,1978 - 1981,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,MARIA ELENA,GUILLEN NUÑEZ,CHAVEZ DE LA ROSA,1983 - 1986,,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MARIA ELENA,GUILLEN NUÑEZ,LA SALLE,1982 - 1982,1ERO,,,,
ACCION POPULAR,CONGRESISTA,MARIA ELENA,SALVATIERRA RAMOS,PEDRO NOLASCO,1990 - 1995,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MARIA LOURDES,LLANO FLORES,G.U.E.S.C - PUNO,1979 - 1983,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MARIA LUISA,RAMIREZ CHUMBE ,GRAN UNIDAD ESCOLAR ROSA AGUSTINA DONAYRE DE MOREY,1982 - 1986,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MARIA SHEILA PATRICIA,LAZO DEL CARPIO,ACADEMIA PAEZ,1970 - 1971,,,3ERO,,
ACCION POPULAR,CONGRESISTA,MARIA SHEILA PATRICIA,LAZO DEL CARPIO,PRINCESA MARGARITA,1972 - 1973,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,MARIA SHEILA PATRICIA,LAZO DEL CARPIO,SAN JORGE,1969 - 1969,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,MARIO,ACOSTA QUISPE,Colegio San Juan,1977 - 0,1ERO,2DO,3ERO,4TO,
ACCION POPULAR,CONGRESISTA,MARIO,ACOSTA QUISPE,Colegio San Ramón ,1981 - 1981,,,,,5TO
ACCION POPULAR,CONGRESISTA,MARITZA DORALINDA,GIL ORDINOLA,CE ENRIQUE LOPEZ ALBUJAR,1979 - 1983,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MARTHA CLARET,ROMANI CRUZ,I.E.S. SANTA ROSA - PUNO,1970 - 1975,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MIDA RAQUEL,PONCE VALERA,N°042 EL COMERCIO,1971 - 1975,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MIGUEL,ROMAN VALDIVIA,COLEGIO NACIONAL MARIANO EDUARDO DE RIVERO Y USTARIZ,1973 - 1977,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,MOISES,CAYO PACHAURI,COMERCIO  N¬ 32 MARIANO H CORNEJO,1970 - 1975,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,NORMA DEL ROCIO,CAVASSA YSLA,GENERAL PRADO,1983 - 0,,,,4TO,5TO
ACCION POPULAR,CONGRESISTA,NORMA DEL ROCIO,CAVASSA YSLA,MODELO,1980 - 1982,1ERO,2DO,3ERO,,
ACCION POPULAR,CONGRESISTA,NORMA JUDITH,TORRES LOZANO,I.E. 81102 Condormarca,1986 - 1990,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,COLEGIO PERUANO NORTEAMERICANO ABRAHAM LINCOLN,1967 - 1971,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,WEST NOBLE HIGH SCHOOL -INDIANA INTERCAMBIO ESTUDIANTIL,1975 - 1975,,,,,
ACCION POPULAR,CONGRESISTA,OLGA,MOREANO VARGAS,"I.N.I N° 026  ACTUAL C.N. ""JORGE BASADRE""",1970 - 1974,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,OSCAR ENRIQUE,ZAVALETA SANCHEZ,COLEGIO NACIONAL JOSE OLAYA,1981 - 1985,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,C.E.P. Claretiano,1980 - 1985,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,OSWALDO RUBEN,ALFARO JIMENEZ,Instituto Agropecuario N°08 ,1955 - 1960,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,PAOLA LUISA,ALIAGA HUATUCO,MARIA AUXILIADORA,1986 - 1990,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,Centro Educativo Santa María de Fátima,2003 - 2004,1ERO,,,,
ACCION POPULAR,CONGRESISTA,PAUL GABRIEL,GARCIA OVIEDO,Liceo San Juan,2004 - 0,,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,PEDRO ADOLFO,FERNANDEZ PAREDES,ALFONSO UGARTE,1966 - 1970,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,C.M. LEONCIO PRADO,1966 - 1968,,,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,PEDRO ANTONIO,MORALES MANSILLA,G.U.E. SANTA ISABEL,1964 - 1965,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,PEDRO GUILLERMO,ROSARIO TUEROS,COLEGIO MILITAR LEONCIO PRADO ,1994 - 1996,,,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,PEDRO GUILLERMO,ROSARIO TUEROS,I.E. RICARDO BENTIN ,1992 - 1993,1ERO,2DO,,,
ACCION POPULAR,CONGRESISTA,RAUL BENJAMIN,PIZARRO MAYORCA,C.N. SAN ROMAN,1958 - 1962,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,RICARDO,LADERA SUZUKI,Colegio Nacional Nuestra Señora de Guadalupe,1970 - 1974,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,RILDO,ALARCON HUAYHUA,ANTONIO OCAMPO,1999 - 2004,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,ROSINA CARMEN,CUTIMBO VARGAS,I.E MERCEDES CABELLO DE CARBONERA,1986 - 1990,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,RUFINO,MACHACA QUINTO,I.E.P. SAN AMBROSIO,1969 - 1973,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,SAMUEL,ANAYA CANGANA,INEI 46,1973 - 1977,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,SHANDE ROSSANA,VIDAL LAU DE KOLLE,C.E.P. La Inmaculada ,1988 - 1992,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,A. VON HUMBOLTH,1993 - 1993,,,,,5TO
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,ALBERT EINSTEN,1991 - 1991,,,3ERO,,
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,M. PARADO BELLIDO ,1990 - 1990,,2DO,,,
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,MUNDO MEJOR,1992 - 1992,,,,4TO,
ACCION POPULAR,CONGRESISTA,SHEILLAH MARIA MILAGROS,MIÑANO BAUTISTA,SAN JOSE MONTERICO,1989 - 1989,1ERO,,,,
ACCION POPULAR,CONGRESISTA,SILVIA ROSARIO,CHAVEZ SAAVEDRA,"COLEGIO NACIONAL DE MUJERES ""BANDERA DEL PERU""",1987 - 1991,1ERO,2DO,3ERO,4TO,5TO
ACCION POPULAR,CONGRESISTA,SINCLAIR EDMUNDO GERARDO,SEMINARIO ANGELATS,SAN IGNACIO,1970 - 1974,1ERO,2DO,3ERO,4TO,5TO
